============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 25 2019  04:57:50 pm
  Module:                 FME_PIPE_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_IVX49               2      10.400      0.037       1.408    CORE65LPSVT 
HS65_LS_IVX53             186     967.200      3.735     182.355    CORE65LPSVT 
HS65_LS_IVX62              23     131.560      0.544      27.220    CORE65LPSVT 
HS65_LS_IVX7                2       3.120      0.004       0.208    CORE65LPSVT 
HS65_LS_IVX71             132     823.680      3.619     166.598    CORE65LPSVT 
HS65_LS_IVX9             4106    6405.360     10.482     862.472    CORE65LPSVT 
HS65_LS_MUX21I1X12         21     141.960      0.264      22.782    CORE65LPSVT 
HS65_LS_MUX21I1X18         28     291.200      0.569      42.611    CORE65LPSVT 
HS65_LS_MUX21I1X24         16     199.680      0.461      31.896    CORE65LPSVT 
HS65_LS_MUX21I1X6           3      12.480      0.019       0.985    CORE65LPSVT 
HS65_LS_MUX21X18           20     124.800      0.337      24.468    CORE65LPSVT 
HS65_LS_MUX21X27           15     140.400      0.353      27.152    CORE65LPSVT 
HS65_LS_MUX21X35           12     124.800      0.419      30.571    CORE65LPSVT 
HS65_LS_MUX21X4             7      29.120      0.035       5.770    CORE65LPSVT 
HS65_LS_MUX21X9             5      23.400      0.037       3.618    CORE65LPSVT 
HS65_LS_MUXI21X10          27     224.640      0.332      28.024    CORE65LPSVT 
HS65_LS_MUXI21X15          31     322.400      0.597      40.468    CORE65LPSVT 
HS65_LS_MUXI21X2            4      14.560      0.012       1.427    CORE65LPSVT 
HS65_LS_MUXI21X5            1       4.680      0.006       0.486    CORE65LPSVT 
HS65_LS_NAND2AX14         473    1967.680      3.799     300.898    CORE65LPSVT 
HS65_LS_NAND2AX21         234    1338.480      2.897     270.503    CORE65LPSVT 
HS65_LS_NAND2AX29          54     365.040      0.960      72.985    CORE65LPSVT 
HS65_LS_NAND2AX7         1548    4829.760      7.344     751.809    CORE65LPSVT 
HS65_LS_NAND2X11          150     546.000      0.895      62.819    CORE65LPSVT 
HS65_LS_NAND2X14         1410    5132.400      8.461     622.798    CORE65LPSVT 
HS65_LS_NAND2X2             1       2.080      0.001       0.038    CORE65LPSVT 
HS65_LS_NAND2X21          593    3083.600      6.577     387.623    CORE65LPSVT 
HS65_LS_NAND2X29          282    1759.680      4.154     233.377    CORE65LPSVT 
HS65_LS_NAND2X4             2       4.160      0.001       0.015    CORE65LPSVT 
HS65_LS_NAND2X43          110     972.400      3.237     132.401    CORE65LPSVT 
HS65_LS_NAND2X5           434     902.720      0.867     154.889    CORE65LPSVT 
HS65_LS_NAND2X57           58     693.680      2.725      98.472    CORE65LPSVT 
HS65_LS_NAND2X7         10980   22838.400     22.340    3821.880    CORE65LPSVT 
HS65_LS_NAND3AX13           2      11.440      0.009       1.492    CORE65LPSVT 
HS65_LS_NAND3AX25           1       9.880      0.009       2.088    CORE65LPSVT 
HS65_LS_NAND3X13          134     696.800      1.368     113.954    CORE65LPSVT 
HS65_LS_NAND3X19          154    1041.040      2.696     168.416    CORE65LPSVT 
HS65_LS_NAND3X25           48     424.320      0.953      77.609    CORE65LPSVT 
HS65_LS_NAND3X38            2      26.000      0.071       1.802    CORE65LPSVT 
HS65_LS_NAND3X5            77     200.200      0.432      19.147    CORE65LPSVT 
HS65_LS_NAND3X6             2       6.240      0.009       0.670    CORE65LPSVT 
HS65_LS_NAND4ABX6           1       4.160      0.002       0.527    CORE65LPSVT 
HS65_LS_NOR2AX13          308    1281.280      2.214     228.679    CORE65LPSVT 
HS65_LS_NOR2AX19          212    1212.640      2.141     221.585    CORE65LPSVT 
HS65_LS_NOR2AX25           99     669.240      1.116     120.646    CORE65LPSVT 
HS65_LS_NOR2AX3          2060    5356.000      5.063     766.819    CORE65LPSVT 
HS65_LS_NOR2AX6           243     758.160      0.944     117.629    CORE65LPSVT 
HS65_LS_NOR2X13           823    2995.720      5.323     464.084    CORE65LPSVT 
HS65_LS_NOR2X19           495    2574.000      5.060     376.680    CORE65LPSVT 
HS65_LS_NOR2X2              1       2.080      0.001       0.015    CORE65LPSVT 
HS65_LS_NOR2X25           154     960.960      2.235     142.363    CORE65LPSVT 
HS65_LS_NOR2X3              1       2.080      0.001       0.026    CORE65LPSVT 
HS65_LS_NOR2X38            62     548.080      1.427      68.592    CORE65LPSVT 
HS65_LS_NOR2X5              2       4.160      0.004       0.263    CORE65LPSVT 
HS65_LS_NOR2X50            12     143.520      0.398      19.029    CORE65LPSVT 
HS65_LS_NOR2X6           1989    4137.120      6.385     643.785    CORE65LPSVT 
HS65_LS_NOR2X9             49     178.360      0.248      16.299    CORE65LPSVT 
HS65_LS_NOR3X18             9      79.560      0.040      16.180    CORE65LPSVT 
HS65_LS_NOR3X4              1       2.600      0.003       0.524    CORE65LPSVT 
HS65_LS_NOR3X9              2       9.360      0.018       2.807    CORE65LPSVT 
HS65_LS_NOR4ABX4            2       8.320      0.004       1.231    CORE65LPSVT 
HS65_LS_NOR4X4              1       5.200      0.007       0.249    CORE65LPSVT 
HS65_LS_OA112X18           43     201.240      0.479      51.028    CORE65LPSVT 
HS65_LS_OA112X27            3      24.960      0.062      10.962    CORE65LPSVT 
HS65_LS_OA112X9            33     137.280      0.151      25.296    CORE65LPSVT 
HS65_LS_OA12X18           257    1069.120      2.858     364.127    CORE65LPSVT 
HS65_LS_OA12X27           190    1383.200      3.380     390.747    CORE65LPSVT 
HS65_LS_OA12X35            44     343.200      1.099     121.237    CORE65LPSVT 
HS65_LS_OA12X9            165     600.600      0.824     110.029    CORE65LPSVT 
HS65_LS_OA311X18            1       5.720      0.013       0.832    CORE65LPSVT 
HS65_LS_OA31X9              1       4.160      0.003       0.000    CORE65LPSVT 
HS65_LS_OA32X4              1       4.680      0.003       0.905    CORE65LPSVT 
HS65_LS_OAI112X11          31     193.440      0.358      37.845    CORE65LPSVT 
HS65_LS_OAI112X16          63     556.920      1.108      74.552    CORE65LPSVT 
HS65_LS_OAI112X5         4081   14854.840     25.126    3753.499    CORE65LPSVT 
HS65_LS_OAI112X8            1       6.240      0.009       0.591    CORE65LPSVT 
HS65_LS_OAI12X12          283    1471.600      2.806     265.201    CORE65LPSVT 
HS65_LS_OAI12X18          485    3278.600      7.551     662.551    CORE65LPSVT 
HS65_LS_OAI12X24          419    3703.960      9.424     589.260    CORE65LPSVT 
HS65_LS_OAI12X3            98     254.800      0.189      32.069    CORE65LPSVT 
HS65_LS_OAI12X37          118    1534.000      3.785     214.903    CORE65LPSVT 
HS65_LS_OAI12X49            5      85.800      0.225      11.583    CORE65LPSVT 
HS65_LS_OAI12X5             1       3.120      0.004       0.256    CORE65LPSVT 
HS65_LS_OAI12X6           145     452.400      0.611      74.306    CORE65LPSVT 
HS65_LS_OAI12X9             2      10.400      0.016       0.942    CORE65LPSVT 
HS65_LS_OAI13X5            66     240.240      0.247      62.591    CORE65LPSVT 
HS65_LS_OAI211X11          13      81.120      0.074      12.429    CORE65LPSVT 
HS65_LS_OAI211X8            6      37.440      0.038       3.537    CORE65LPSVT 
HS65_LS_OAI212X10           9      74.880      0.036      11.943    CORE65LPSVT 
HS65_LS_OAI212X15          10     109.200      0.163      11.306    CORE65LPSVT 
HS65_LS_OAI212X20           1      15.080      0.021       1.278    CORE65LPSVT 
HS65_LS_OAI212X5          183     761.280      1.058     209.985    CORE65LPSVT 
HS65_LS_OAI21X12           20     104.000      0.148      25.261    CORE65LPSVT 
