============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2020  03:36:03 pm
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_BFX27             442    1608.880      5.593     599.764    CORE65LPSVT 
HS65_LS_BFX284              4     120.640      0.649      34.978    CORE65LPSVT 
HS65_LS_BFX31              19      98.800      0.295      39.100    CORE65LPSVT 
HS65_LS_BFX35              61     317.200      1.061     126.754    CORE65LPSVT 
HS65_LS_BFX40              14      80.080      0.282      25.239    CORE65LPSVT 
HS65_LS_BFX44              41     234.520      0.916     103.020    CORE65LPSVT 
HS65_LS_BFX49               1       6.240      0.025       1.501    CORE65LPSVT 
HS65_LS_BFX53             265    1653.600      7.167     861.947    CORE65LPSVT 
HS65_LS_BFX62              25     195.000      0.806      85.175    CORE65LPSVT 
HS65_LS_BFX71             108     898.560      4.015     468.695    CORE65LPSVT 
HS65_LS_BFX9              124     257.920      0.440      88.989    CORE65LPSVT 
HS65_LS_CB4I1X18          128     665.600      1.539     445.745    CORE65LPSVT 
HS65_LS_CB4I1X27            1       8.840      0.018       6.461    CORE65LPSVT 
HS65_LS_CB4I1X35            7      65.520      0.154      55.941    CORE65LPSVT 
HS65_LS_CB4I1X4             4      16.640      0.012       6.632    CORE65LPSVT 
HS65_LS_CB4I1X9            21      87.360      0.100      24.401    CORE65LPSVT 
HS65_LS_CB4I6X18           68     353.600      0.700     187.386    CORE65LPSVT 
HS65_LS_CB4I6X27            1       8.320      0.016       4.356    CORE65LPSVT 
HS65_LS_CB4I6X35            2      18.720      0.041      10.338    CORE65LPSVT 
HS65_LS_CB4I6X9           154     640.640      0.741     174.709    CORE65LPSVT 
HS65_LS_CBI4I1X11          78     486.720      0.783     162.384    CORE65LPSVT 
HS65_LS_CBI4I1X16          38     335.920      0.575     109.297    CORE65LPSVT 
HS65_LS_CBI4I1X21          24     287.040      0.522      58.945    CORE65LPSVT 
HS65_LS_CBI4I1X5          296    1077.440      1.459     348.738    CORE65LPSVT 
HS65_LS_CBI4I6X14          14     123.760      0.174      37.569    CORE65LPSVT 
HS65_LS_CBI4I6X18          10     119.600      0.168      44.247    CORE65LPSVT 
HS65_LS_CBI4I6X5           63     229.320      0.235      70.206    CORE65LPSVT 
HS65_LS_CBI4I6X9           11      68.640      0.082      20.209    CORE65LPSVT 
HS65_LS_CNBFX21             7      25.480      0.074       9.752    CORE65LPSVT 
HS65_LS_CNBFX31             6      37.440      0.094      11.237    CORE65LPSVT 
HS65_LS_CNBFX41             3      20.280      0.067       9.154    CORE65LPSVT 
