============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 24 2020  03:31:13 am
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_HA1X18            303    2205.840      6.390     940.638    CORE65LPSVT 
HS65_LS_HA1X27             49     586.040      1.654     174.738    CORE65LPSVT 
HS65_LS_HA1X35              7      94.640      0.323      26.635    CORE65LPSVT 
HS65_LS_HA1X4            4564   23732.800     23.828    4362.707    CORE65LPSVT 
HS65_LS_HA1X9             650    4056.000      6.301     986.762    CORE65LPSVT 
HS65_LS_IVX106             52     459.680      2.230      89.435    CORE65LPSVT 
HS65_LS_IVX13               5      10.400      0.021       1.322    CORE65LPSVT 
HS65_LS_IVX142             36     430.560      2.119      76.222    CORE65LPSVT 
HS65_LS_IVX18            4785    9952.800     25.452    1395.914    CORE65LPSVT 
HS65_LS_IVX2                1       1.560      0.001       0.016    CORE65LPSVT 
HS65_LS_IVX213              5      85.800      0.434      10.377    CORE65LPSVT 
HS65_LS_IVX27             650    2028.000      5.994     277.161    CORE65LPSVT 
HS65_LS_IVX31              15      54.600      0.165       8.149    CORE65LPSVT 
HS65_LS_IVX35            1122    4084.080     13.997     569.577    CORE65LPSVT 
HS65_LS_IVX40               6      24.960      0.086       3.884    CORE65LPSVT 
HS65_LS_IVX44             725    3016.000     11.732     426.444    CORE65LPSVT 
HS65_LS_IVX49              12      62.400      0.222      12.285    CORE65LPSVT 
HS65_LS_IVX53             291    1513.200      5.840     196.407    CORE65LPSVT 
HS65_LS_IVX62              57     326.040      1.346      47.792    CORE65LPSVT 
HS65_LS_IVX7               16      24.960      0.031       1.909    CORE65LPSVT 
HS65_LS_IVX71             129     804.960      3.554     114.608    CORE65LPSVT 
