============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  01:11:35 pm
  Module:                 FME_PIPE_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_NAND4X9             3      17.160      0.012       0.169    CORE65LPSVT 
HS65_LS_NOR2AX13          177     736.320      1.670     136.722    CORE65LPSVT 
HS65_LS_NOR2AX19           96     549.120      0.949      90.196    CORE65LPSVT 
HS65_LS_NOR2AX25           35     236.600      0.816      61.948    CORE65LPSVT 
HS65_LS_NOR2AX3          1736    4513.600      4.347     628.088    CORE65LPSVT 
HS65_LS_NOR2AX6           221     689.520      0.942      89.564    CORE65LPSVT 
HS65_LS_NOR2X13          1310    4768.400      9.343     861.360    CORE65LPSVT 
HS65_LS_NOR2X19           738    3837.600      6.784     679.263    CORE65LPSVT 
HS65_LS_NOR2X25           222    1385.280      2.619     298.332    CORE65LPSVT 
HS65_LS_NOR2X38           141    1246.440      3.506     302.891    CORE65LPSVT 
HS65_LS_NOR2X50             1      11.960      0.038       2.558    CORE65LPSVT 
HS65_LS_NOR2X6           3680    7654.400     12.585    1867.987    CORE65LPSVT 
HS65_LS_NOR2X9             87     316.680      0.360      39.209    CORE65LPSVT 
HS65_LS_NOR3X9             22     102.960      0.100       6.429    CORE65LPSVT 
HS65_LS_NOR4ABX2           33     120.120      0.021       1.479    CORE65LPSVT 
HS65_LS_NOR4X27             4      33.280      0.060       0.296    CORE65LPSVT 
HS65_LS_OA112X18           11      51.480      0.130      19.616    CORE65LPSVT 
HS65_LS_OA12X18           282    1173.120      3.178     426.888    CORE65LPSVT 
HS65_LS_OA12X27            79     575.120      1.240     187.471    CORE65LPSVT 
HS65_LS_OA12X35           170    1326.000      4.168     471.710    CORE65LPSVT 
HS65_LS_OA12X9            122     444.080      0.619     105.132    CORE65LPSVT 
HS65_LS_OA212X18           11      68.640      0.135      21.070    CORE65LPSVT 
HS65_LS_OA212X4            22     114.400      0.069      16.188    CORE65LPSVT 
HS65_LS_OA31X18            11      57.200      0.123      19.156    CORE65LPSVT 
HS65_LS_OA31X9              1       4.160      0.003       0.000    CORE65LPSVT 
HS65_LS_OAI12X12          558    2901.600      5.013     721.437    CORE65LPSVT 
HS65_LS_OAI12X18          194    1311.440      2.812     284.709    CORE65LPSVT 
HS65_LS_OAI12X24          295    2607.800      6.186     594.112    CORE65LPSVT 
HS65_LS_OAI12X3           298     774.800      0.468     117.889    CORE65LPSVT 
HS65_LS_OAI12X37           16     208.000      0.564      37.141    CORE65LPSVT 
HS65_LS_OAI12X49            5      85.800      0.240      15.805    CORE65LPSVT 
HS65_LS_OAI12X6          6006   18738.720     21.994    4529.373    CORE65LPSVT 
HS65_LS_OAI12X9             1       5.200      0.008       0.620    CORE65LPSVT 
HS65_LS_OAI211X16          33     291.720      0.697      46.051    CORE65LPSVT 
HS65_LS_OAI212X10          21     174.720      0.223      29.322    CORE65LPSVT 
HS65_LS_OAI212X15          78     851.760      0.698     143.336    CORE65LPSVT 
HS65_LS_OAI212X5         6327   26320.320     13.296    5437.732    CORE65LPSVT 
HS65_LS_OAI21X12           51     265.200      0.464      43.368    CORE65LPSVT 
HS65_LS_OAI21X18           73     493.480      0.823      81.349    CORE65LPSVT 
HS65_LS_OAI21X24          122    1078.480      2.373     193.920    CORE65LPSVT 
HS65_LS_OAI21X3          8549   22227.400     19.200    3509.308    CORE65LPSVT 
HS65_LS_OAI21X37           20     260.000      0.665      38.050    CORE65LPSVT 
HS65_LS_OAI21X49           45     772.200      2.028     121.103    CORE65LPSVT 
HS65_LS_OAI21X6           207     645.840      1.054     152.754    CORE65LPSVT 
HS65_LS_OAI21X9            20     104.000      0.142       8.551    CORE65LPSVT 
HS65_LS_OAI22X17            2      17.680      0.024       3.121    CORE65LPSVT 
HS65_LS_OAI22X6          2313    8419.320     10.123    1866.500    CORE65LPSVT 
HS65_LS_OAI22X8            21     131.040      0.118      30.567    CORE65LPSVT 
HS65_LS_OAI31X10           34     212.160      0.373      38.893    CORE65LPSVT 
HS65_LS_OAI32X9            34     265.200      0.372      33.394    CORE65LPSVT 
HS65_LS_OR2ABX27            1       5.720      0.012       1.605    CORE65LPSVT 
HS65_LS_OR2X18            266     968.240      2.271     206.556    CORE65LPSVT 
HS65_LS_OR2X27             66     377.520      0.927     101.050    CORE65LPSVT 
HS65_LS_OR2X35            277    1728.480      5.517     492.988    CORE65LPSVT 
HS65_LS_OR2X9             489    1525.680      2.344     299.481    CORE65LPSVT 
HS65_LS_OR3ABCX35           1       6.240      0.020       2.978    CORE65LPSVT 
HS65_LS_OR4X4               1       5.200      0.007       0.318    CORE65LPSVT 
HS65_LS_PAO2X9             33     154.440      0.125      19.091    CORE65LPSVT 
HS65_LS_PAOI2X1             1       3.640      0.001       0.266    CORE65LPSVT 
HS65_LS_PAOI2X11           66     514.800      0.677     111.012    CORE65LPSVT 
HS65_LS_PAOI2X6           131     544.960      0.413      78.003    CORE65LPSVT 
HS65_LS_SDFPRQNX4         756    9434.880      7.626    7346.155    CORE65LPSVT 
HS65_LS_SDFPRQX4           36     449.280      0.342     453.069    CORE65LPSVT 
HS65_LS_SDFPRQX9          324    4043.520      3.435    4148.104    CORE65LPSVT 
HS65_LS_XNOR2X18          100     676.000      2.185     269.059    CORE65LPSVT 
HS65_LS_XNOR2X9            80     416.000      0.787     132.882    CORE65LPSVT 
HS65_LS_XOR2X18           443    2994.680      9.736    1037.236    CORE65LPSVT 
HS65_LS_XOR2X27           168    1747.200      5.364     657.358    CORE65LPSVT 
HS65_LS_XOR2X35           526    6017.440     23.054    2529.547    CORE65LPSVT 
HS65_LS_XOR2X9            168     873.600      1.666     280.342    CORE65LPSVT 
--------------------------------------------------------------------------------
total                  101117  491362.560    678.468  240948.612                


                                             Leakage  Leakage  Internal  Internal 
     Type      Instances    Area    Area % Power (uW) Power % Power (uW)  Power % 
----------------------------------------------------------------------------------
sequential         17994 178305.920   36.3    173.964    25.6 170545.925     70.8 
inverter           11016  23895.560    4.9     60.054     8.9   4156.188      1.7 
buffer               558   4077.320    0.8     17.733     2.6   2174.819      0.9 
logic              71549 285083.760   58.0    426.716    62.9  64071.679     26.6 
physical_cells         0      0.000    0.0      0.000     0.0      0.000      0.0 
----------------------------------------------------------------------------------
total             101117 491362.560  100.0    678.468   100.0 240948.612    100.0 

