============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  05:02:31 pm
  Module:                 INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
INTER_2                       15386   164.608 10737.075  6396.083      17133.158         17297.766 
    csa_tree_U.._18_10_groupi    54     0.715    42.891    33.234         76.126            76.841 
    addinc_U_1_U_S1_add_18_16    61     0.581    15.008    15.203         30.210            30.792 
    addinc_U_0_U_S1_add_18_16    61     0.580    14.469    14.510         28.979            29.559 
    U_S10                         3     0.017     1.000     0.821          1.821             1.838 
      addinc_add_41_28            3     0.017     1.000     0.821          1.821             1.838 
  gen_filter[23].U_S0           427     4.611   143.832   143.931        287.763           292.374 
    addinc_U_0_U_S0_add_18_16    75     0.833    16.635    19.840         36.475            37.308 
    addinc_U_1_U_S0_add_18_16    75     0.828    12.222    14.941         27.163            27.991 
    csa_tree_U.._18_10_groupi    54     0.715    41.796    32.327         74.123            74.838 
    csa_tree_U.._18_10_groupi    54     0.712    40.384    30.540         70.924            71.636 
    addinc_U_0_U_S1_add_18_16    61     0.579    15.072    15.399         30.471            31.051 
    addinc_U_1_U_S1_add_18_16    61     0.579    11.478    11.350         22.828            23.407 
    U_S10                         3     0.018     0.580     0.459          1.039             1.056 
      addinc_add_41_28            3     0.018     0.580     0.459          1.039             1.056 
  gen_filter[24].U_S0           427     4.611   136.570   136.779        273.350           277.960 
    addinc_U_0_U_S0_add_18_16    75     0.828    12.222    14.941         27.163            27.991 
    addinc_U_1_U_S0_add_18_16    75     0.827    14.060    17.767         31.827            32.654 
    csa_tree_U.._18_10_groupi    54     0.718    41.256    31.560         72.816            73.534 
    csa_tree_U.._18_10_groupi    54     0.710    38.624    29.280         67.904            68.613 
    addinc_U_1_U_S1_add_18_16    61     0.586    13.148    13.354         26.503            27.089 
    addinc_U_0_U_S1_add_18_16    61     0.579    11.479    11.350         22.828            23.408 
    U_S10                         3     0.017     0.579     0.459          1.038             1.055 
      addinc_add_41_28            3     0.017     0.579     0.459          1.038             1.055 
  gen_filter[21].U_S0           427     4.610   133.996   134.170        268.166           272.776 
    addinc_U_0_U_S0_add_18_16    75     0.827    13.319    16.043         29.362            30.189 
    addinc_U_1_U_S0_add_18_16    75     0.817    13.575    16.547         30.122            30.938 
    csa_tree_U.._18_10_groupi    54     0.718    38.494    30.320         68.814            69.532 
    csa_tree_U.._18_10_groupi    54     0.714    38.106    28.459         66.565            67.279 
    addinc_U_1_U_S1_add_18_16    61     0.589    13.109    13.277         26.386            26.975 
    addinc_U_0_U_S1_add_18_16    61     0.584    11.855    11.780         23.635            24.218 
    U_S10                         3     0.017     0.590     0.474          1.065             1.082 
      addinc_add_41_28            3     0.017     0.590     0.474          1.065             1.082 
  gen_filter[27].U_S0           427     4.610   150.710   148.937        299.648           304.257 
    addinc_U_0_U_S0_add_18_16    75     0.829    13.873    16.834         30.707            31.536 
    addinc_U_1_U_S0_add_18_16    75     0.825    15.153    18.310         33.463            34.288 
    csa_tree_U.._18_10_groupi    54     0.714    44.353    34.391         78.744            79.458 
    csa_tree_U.._18_10_groupi    54     0.709    42.871    31.984         74.855            75.564 
    addinc_U_1_U_S1_add_18_16    61     0.588    14.497    14.628         29.125            29.713 
    addinc_U_0_U_S1_add_18_16    61     0.584    13.424    13.249         26.673            27.257 
    U_S10                         3     0.017     0.805     0.682          1.487             1.505 
      addinc_add_41_28            3     0.017     0.805     0.682          1.487             1.505 
  gen_filter[14].U_S0           427     4.609   148.196   151.206        299.402           304.011 
    addinc_U_0_U_S0_add_18_16    75     0.832    14.063    17.160         31.223            32.055 
    addinc_U_1_U_S0_add_18_16    75     0.828    16.354    19.896         36.250            37.078 
    csa_tree_U.._18_10_groupi    54     0.713    40.693    31.306         71.999            72.712 
    csa_tree_U.._18_10_groupi    54     0.709    43.002    33.420         76.422            77.131 
    addinc_U_1_U_S1_add_18_16    61     0.587    15.542    15.929         31.471            32.058 
    addinc_U_0_U_S1_add_18_16    61     0.578    11.769    12.379         24.148            24.726 
    U_S10                         3     0.018     0.693     0.559          1.252             1.270 
      addinc_add_41_28            3     0.018     0.693     0.559          1.252             1.270 
  gen_filter[0].U_S0            428     4.609   148.114   147.868        295.982           300.592 
    addinc_U_1_U_S0_add_18_16    75     0.830    13.635    16.883         30.518            31.348 
    addinc_U_0_U_S0_add_18_16    75     0.824    14.444    17.779         32.222            33.046 
    csa_tree_U.._18_10_groupi    54     0.713    42.834    33.373         76.207            76.920 
    csa_tree_U.._18_10_groupi    54     0.711    43.905    33.043         76.948            77.659 
    addinc_U_1_U_S1_add_18_16    61     0.590    12.881    12.582         25.464            26.054 
    addinc_U_0_U_S1_add_18_16    61     0.585    14.299    13.985         28.284            28.868 
    U_S10                         3     0.017     0.665     0.521          1.186             1.203 
      addinc_add_41_28            3     0.017     0.665     0.521          1.186             1.203 
  gen_filter[29].U_S0           427     4.609   146.418   148.423        294.841           299.450 
    addinc_U_0_U_S0_add_18_16    75     0.834    13.860    17.055         30.915            31.749 
    addinc_U_1_U_S0_add_18_16    75     0.827    15.926    19.829         35.755            36.582 
    csa_tree_U.._18_10_groupi    54     0.718    42.350    32.640         74.990            75.708 
    csa_tree_U.._18_10_groupi    54     0.712    40.406    31.439         71.845            72.557 
