============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 20 2020  08:45:23 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
filter_regular                18851   128.955 14161.925  9393.689      23555.614         23684.569 
    U_S_35_add_63_8              18     0.093    10.702     8.937         19.639            19.732 
  S0[5].U0                     1878    12.033   764.417   845.441       1609.858          1621.891 
    csa_tree_U..d_90_9_groupi    57     0.524    36.459    33.399         69.858            70.382 
    csa_tree_U..d_90_9_groupi    38     0.435    30.834    25.823         56.657            57.092 
    csa_tree_U..d_90_9_groupi    33     0.433    32.832    27.908         60.740            61.173 
    csa_tree_U..d_90_9_groupi    32     0.354    27.483    22.004         49.487            49.841 
    csa_tree_U..d_90_9_groupi    59     0.339    42.190    40.442         82.632            82.971 
    csa_tree_U..d_90_9_groupi    51     0.335    40.852    36.443         77.295            77.630 
    csa_tree_U..d_90_9_groupi    48     0.317    36.859    33.718         70.577            70.894 
    csa_tree_U..d_90_9_groupi    53     0.310    37.900    37.611         75.511            75.821 
    csa_tree_U..d_90_9_groupi    39     0.252    17.201    17.135         34.337            34.589 
    csa_tree_U..d_90_9_groupi    38     0.238    17.795    18.239         36.034            36.271 
    csa_tree_U..d_90_9_groupi    37     0.236    11.786    11.890         23.676            23.912 
    csa_tree_U..d_90_9_groupi    37     0.234    17.129    18.445         35.573            35.808 
    csa_tree_U..d_90_9_groupi    44     0.234    14.778    16.754         31.532            31.766 
    csa_tree_U..d_90_9_groupi    27     0.176    13.534    14.682         28.216            28.392 
    csa_tree_U..d_90_9_groupi    33     0.173    19.495    18.517         38.012            38.185 
    csa_tree_U..d_90_9_groupi    26     0.169     7.907     7.911         15.818            15.987 
    csa_tree_U..d_90_9_groupi    27     0.159    12.961    14.196         27.157            27.316 
    csa_tree_U..d_90_9_groupi    27     0.155    12.512    13.859         26.371            26.525 
    U_S_44_add_63_8              19     0.114    10.808     8.581         19.389            19.503 
    U_S_15_add_63_8              19     0.110    13.101    10.617         23.718            23.828 
    U_S_25_add_63_8              19     0.108    14.062    11.661         25.723            25.831 
    U_S4_add_90_9                20     0.107    10.049     8.321         18.370            18.477 
    U_S14_add_90_9               19     0.103    11.189     9.346         20.535            20.638 
    U_S95_add_63_8               19     0.103    12.270    10.169         22.439            22.542 
    U_S85_add_63_8               19     0.100    13.085    10.945         24.030            24.130 
    U_S_35_add_63_8              18     0.094    11.617     9.991         21.608            21.701 
  S0[4].U0                     1889    11.922   767.049   850.609       1617.658          1629.581 
    csa_tree_U..d_90_9_groupi    57     0.556    41.064    35.342         76.406            76.962 
    csa_tree_U..d_90_9_groupi    36     0.435    34.438    28.797         63.235            63.670 
    csa_tree_U..d_90_9_groupi    33     0.369    30.368    28.565         58.933            59.302 
    csa_tree_U..d_90_9_groupi    51     0.350    42.864    37.214         80.077            80.427 
    csa_tree_U..d_90_9_groupi    59     0.332    39.971    39.330         79.301            79.633 
    csa_tree_U..d_90_9_groupi    54     0.317    41.068    39.178         80.247            80.564 
    csa_tree_U..d_90_9_groupi    48     0.300    37.698    34.182         71.880            72.180 
    csa_tree_U..d_90_9_groupi    37     0.258    21.122    21.644         42.766            43.024 
    csa_tree_U..d_90_9_groupi    38     0.235    17.266    18.044         35.310            35.545 
    csa_tree_U..d_90_9_groupi    31     0.234    18.804    18.894         37.698            37.932 
    csa_tree_U..d_90_9_groupi    37     0.231    11.887    12.122         24.009            24.240 
    csa_tree_U..d_90_9_groupi    39     0.231    16.532    17.465         33.997            34.228 
    csa_tree_U..d_90_9_groupi    44     0.212    14.905    17.690         32.595            32.807 
    csa_tree_U..d_90_9_groupi    35     0.189    18.106    17.068         35.174            35.363 
    csa_tree_U..d_90_9_groupi    27     0.185    14.406    14.554         28.960            29.145 
    csa_tree_U..d_90_9_groupi    26     0.184     8.982     8.537         17.519            17.703 
    csa_tree_U..d_90_9_groupi    27     0.159    12.486    13.705         26.190            26.349 
    csa_tree_U..d_90_9_groupi    27     0.155    12.084    13.427         25.511            25.665 
    U_S4_add_90_9                20     0.106     9.439     7.665         17.104            17.210 
    U_S_25_add_63_8              19     0.104    13.802    11.191         24.992            25.096 
    U_S14_add_90_9               19     0.103    10.694     8.954         19.648            19.751 
    U_S_44_add_63_8              19     0.103    10.951     8.933         19.883            19.986 
    U_S95_add_63_8               19     0.103    12.230     9.860         22.090            22.193 
    U_S85_add_63_8               19     0.100    11.902     9.991         21.892            21.992 
    U_S_15_add_63_8              19     0.100    11.933     9.705         21.638            21.737 
    U_S_35_add_63_8              18     0.093    11.374     9.414         20.788            20.881 
  S0[8].U0                     1893    11.838   743.235   829.906       1573.141          1584.979 
    csa_tree_U..d_90_9_groupi    50     0.631    42.793    33.534         76.326            76.957 
    csa_tree_U..d_90_9_groupi    38     0.396    26.880    23.721         50.601            50.997 
    csa_tree_U..d_90_9_groupi    33     0.396    30.878    28.517         59.395            59.790 
    csa_tree_U..d_90_9_groupi    51     0.349    42.233    36.437         78.670            79.019 
    csa_tree_U..d_90_9_groupi    53     0.324    38.949    37.800         76.749            77.073 
    csa_tree_U..d_90_9_groupi    59     0.323    39.951    39.876         79.827            80.150 
    csa_tree_U..d_90_9_groupi    48     0.296    39.195    35.200         74.395            74.691 
    csa_tree_U..d_90_9_groupi    37     0.244    18.363    19.653         38.016            38.260 
    csa_tree_U..d_90_9_groupi    31     0.234    17.656    17.823         35.478            35.712 
    csa_tree_U..d_90_9_groupi    44     0.212    14.018    16.674         30.692            30.904 
    csa_tree_U..d_90_9_groupi    37     0.209    10.643    11.584         22.226            22.436 
    csa_tree_U..d_90_9_groupi    39     0.207    15.987    17.799         33.787            33.994 
    csa_tree_U..d_90_9_groupi    38     0.206    15.806    17.596         33.402            33.608 
    csa_tree_U..d_90_9_groupi    27     0.195    15.122    15.619         30.740            30.936 
    csa_tree_U..d_90_9_groupi    35     0.184    19.908    18.741         38.649            38.833 
    csa_tree_U..d_90_9_groupi    26     0.170     9.083     9.034         18.117            18.286 
    csa_tree_U..d_90_9_groupi    27     0.159    12.773    14.033         26.806            26.965 
    csa_tree_U..d_90_9_groupi    27     0.154    11.707    12.939         24.646            24.801 
    U_S_44_add_63_8              19     0.114    10.904     8.162         19.066            19.179 
    U_S_15_add_63_8              20     0.106    12.505    10.163         22.668            22.774 
    U_S4_add_90_9                22     0.106    10.018     8.734         18.752            18.858 
    U_S85_add_63_8               20     0.106    11.774     9.454         21.228            21.334 
    U_S_25_add_63_8              19     0.103    13.629    11.061         24.690            24.793 
    U_S95_add_63_8               19     0.102    11.720     9.688         21.408            21.510 
    U_S14_add_90_9               19     0.098    10.424     8.855         19.279            19.377 
    U_S_35_add_63_8              18     0.093    10.730     8.975         19.705            19.798 

