============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 19 2019  11:38:18 pm
  Module:                 FME_INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_NAND4X18           15     101.400      0.147       1.008    CORE65LPSVT 
HS65_LS_NAND4X27            1       8.320      0.015       0.000    CORE65LPSVT 
HS65_LS_NOR2AX13          126     524.160      1.353     121.047    CORE65LPSVT 
HS65_LS_NOR2AX19           96     549.120      1.471     102.437    CORE65LPSVT 
HS65_LS_NOR2AX25           94     635.440      1.809      97.765    CORE65LPSVT 
HS65_LS_NOR2AX3           732    1903.200      1.813     179.522    CORE65LPSVT 
HS65_LS_NOR2AX6           327    1020.240      1.463     112.988    CORE65LPSVT 
HS65_LS_NOR2X13           523    1903.720      3.271     239.263    CORE65LPSVT 
HS65_LS_NOR2X19           564    2932.800      5.971     386.316    CORE65LPSVT 
HS65_LS_NOR2X25           433    2701.920      6.360     447.604    CORE65LPSVT 
HS65_LS_NOR2X3              2       4.160      0.003       0.305    CORE65LPSVT 
HS65_LS_NOR2X38           443    3916.120     10.381     687.146    CORE65LPSVT 
HS65_LS_NOR2X5              2       4.160      0.005       0.720    CORE65LPSVT 
HS65_LS_NOR2X50           221    2643.160      6.749     394.958    CORE65LPSVT 
HS65_LS_NOR2X6           5592   11631.360     18.111    2217.263    CORE65LPSVT 
HS65_LS_NOR2X9             14      50.960      0.071       5.200    CORE65LPSVT 
HS65_LS_NOR3X13             6      40.560      0.063       2.316    CORE65LPSVT 
HS65_LS_NOR3X18            83     733.720      1.184      53.928    CORE65LPSVT 
HS65_LS_NOR3X26            36     411.840      0.632      21.100    CORE65LPSVT 
HS65_LS_NOR3X9              9      42.120      0.064       3.104    CORE65LPSVT 
HS65_LS_NOR4ABX13          32     316.160      0.118       4.535    CORE65LPSVT 
HS65_LS_NOR4ABX18          34     406.640      0.154       8.860    CORE65LPSVT 
HS65_LS_NOR4ABX2           33     120.120      0.021       0.913    CORE65LPSVT 
HS65_LS_NOR4X18            19     128.440      0.185       0.800    CORE65LPSVT 
HS65_LS_OA112X18           21      98.280      0.173      17.686    CORE65LPSVT 
HS65_LS_OA12X18            28     116.480      0.326      34.480    CORE65LPSVT 
HS65_LS_OA12X27            87     633.360      1.559     123.765    CORE65LPSVT 
HS65_LS_OA12X35            23     179.400      0.613      47.746    CORE65LPSVT 
HS65_LS_OA12X9             72     262.080      0.367      37.942    CORE65LPSVT 
HS65_LS_OA22X9             42     196.560      0.230      37.013    CORE65LPSVT 
HS65_LS_OA31X9              1       4.160      0.003       0.000    CORE65LPSVT 
HS65_LS_OAI112X11          53     330.720      0.703      48.501    CORE65LPSVT 
HS65_LS_OAI112X4            2       7.280      0.002       0.989    CORE65LPSVT 
HS65_LS_OAI112X5          600    2184.000      0.977     362.849    CORE65LPSVT 
HS65_LS_OAI112X8           16      99.840      0.041      14.750    CORE65LPSVT 
HS65_LS_OAI12X12         2263   11767.600     17.437    2543.480    CORE65LPSVT 
HS65_LS_OAI12X18          532    3596.320      9.149     551.926    CORE65LPSVT 
HS65_LS_OAI12X24          245    2165.800      5.934     387.571    CORE65LPSVT 
HS65_LS_OAI12X3           117     304.200      0.218      38.337    CORE65LPSVT 
HS65_LS_OAI12X37          106    1378.000      3.877     204.061    CORE65LPSVT 
HS65_LS_OAI12X49           38     652.080      2.019     148.575    CORE65LPSVT 
HS65_LS_OAI12X5           144     449.280      0.584      62.957    CORE65LPSVT 
HS65_LS_OAI12X6          3947   12314.640     15.037    2400.885    CORE65LPSVT 
HS65_LS_OAI12X9            27     140.400      0.152      25.612    CORE65LPSVT 
HS65_LS_OAI13X5            65     236.600      0.364      44.410    CORE65LPSVT 
HS65_LS_OAI13X7             1       6.240      0.009       1.159    CORE65LPSVT 
HS65_LS_OAI211X11           8      49.920      0.088       5.102    CORE65LPSVT 
HS65_LS_OAI211X16           2      17.680      0.027       2.370    CORE65LPSVT 
HS65_LS_OAI211X8           27     168.480      0.259      13.843    CORE65LPSVT 
HS65_LS_OAI212X10           6      49.920      0.027       9.457    CORE65LPSVT 
HS65_LS_OAI212X15           6      65.520      0.085       8.559    CORE65LPSVT 
HS65_LS_OAI212X3          203     844.480      0.210      81.102    CORE65LPSVT 
HS65_LS_OAI212X5         7533   31337.280     15.437    5333.540    CORE65LPSVT 
HS65_LS_OAI21X12           67     348.400      0.555      51.016    CORE65LPSVT 
HS65_LS_OAI21X18           63     425.880      0.963      68.000    CORE65LPSVT 
HS65_LS_OAI21X24           37     327.080      0.808      47.250    CORE65LPSVT 
HS65_LS_OAI21X3          6557   17048.200     15.970    2275.347    CORE65LPSVT 
HS65_LS_OAI21X37           74     962.000      2.467     146.622    CORE65LPSVT 
HS65_LS_OAI21X49           12     205.920      0.545      28.450    CORE65LPSVT 
HS65_LS_OAI21X5             3       9.360      0.008       1.096    CORE65LPSVT 
HS65_LS_OAI21X6           210     655.200      1.070     114.588    CORE65LPSVT 
HS65_LS_OAI21X9             3      15.600      0.022       1.033    CORE65LPSVT 
HS65_LS_OAI22X17            2      17.680      0.023       2.735    CORE65LPSVT 
HS65_LS_OAI22X33            3      51.480      0.075       9.092    CORE65LPSVT 
HS65_LS_OAI22X44           20     457.600      0.660      68.591    CORE65LPSVT 
HS65_LS_OR2ABX27           37     211.640      0.496      58.451    CORE65LPSVT 
HS65_LS_OR2X18             71     258.440      0.691      63.115    CORE65LPSVT 
HS65_LS_OR2X27            106     606.320      1.612     123.877    CORE65LPSVT 
HS65_LS_OR2X35            161    1004.640      3.072     268.940    CORE65LPSVT 
HS65_LS_OR2X4              70     218.400      0.216      39.771    CORE65LPSVT 
HS65_LS_OR2X9            1116    3481.920      5.461     758.527    CORE65LPSVT 
HS65_LS_OR3ABCX35           2      12.480      0.042       3.437    CORE65LPSVT 
HS65_LS_OR4X14              1       7.280      0.007       0.000    CORE65LPSVT 
HS65_LS_OR4X4               1       5.200      0.007       0.309    CORE65LPSVT 
