============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 25 2019  03:30:59 pm
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library     
HS65_LS_MUXI21X10          56     465.920      0.673      58.282    CORE65LPSVT  
HS65_LS_MUXI21X15           2      20.800      0.037       2.336    CORE65LPSVT  
HS65_LS_MUXI21X20           1      14.040      0.023       1.302    CORE65LPSVT  
HS65_LS_MUXI21X5            1       4.680      0.006       0.468    CORE65LPSVT  
HS65_LS_NAND2AX14         465    1934.400      4.448     233.767    CORE65LPSVT  
HS65_LS_NAND2AX21         497    2842.840      6.875     370.866    CORE65LPSVT  
HS65_LS_NAND2AX29         183    1237.080      3.594     164.138    CORE65LPSVT  
HS65_LS_NAND2AX4            4      12.480      0.010       0.233    CORE65LPSVT  
HS65_LS_NAND2AX7         1711    5338.320      8.613     671.098    CORE65LPSVT  
HS65_LS_NAND2X11            8      29.120      0.053       2.648    CORE65LPSVT  
HS65_LS_NAND2X14         1184    4309.760      7.493     468.746    CORE65LPSVT  
HS65_LS_NAND2X21          593    3083.600      5.795     335.607    CORE65LPSVT  
HS65_LS_NAND2X29          304    1896.960      4.820     234.194    CORE65LPSVT  
HS65_LS_NAND2X4             2       4.160      0.003       0.060    CORE65LPSVT  
HS65_LS_NAND2X43          118    1043.120      4.029     175.776    CORE65LPSVT  
HS65_LS_NAND2X5           217     451.360      0.432      62.881    CORE65LPSVT  
HS65_LS_NAND2X57           22     263.120      1.172      29.122    CORE65LPSVT  
HS65_LS_NAND2X7         26768   55677.440     52.061    8479.686    CORE65LPSVT  
HS65_LS_NAND3AX13          62     354.640      0.533      62.512    CORE65LPSVT  
HS65_LS_NAND3AX19          60     468.000      0.724      58.064    CORE65LPSVT  
HS65_LS_NAND3AX25          18     177.840      0.124      12.400    CORE65LPSVT  
HS65_LS_NAND3X13           22     114.400      0.378      11.562    CORE65LPSVT  
HS65_LS_NAND3X19           51     344.760      0.593      37.893    CORE65LPSVT  
HS65_LS_NAND3X25           40     353.600      0.876      45.082    CORE65LPSVT  
HS65_LS_NAND3X38           55     715.000      1.890      89.762    CORE65LPSVT  
HS65_LS_NAND3X50            3      51.480      0.134       7.012    CORE65LPSVT  
HS65_LS_NAND4ABX3           1       3.640      0.001       0.000    CORE65LPSVT  
