============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 21 2019  09:08:01 pm
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal      Net        Dynamic          Total       
                                                                    (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW)  Power(uW)    Power(uW)       Power(uW)     
-----------------------------------------------------------------------------------------------------
      addinc_U_S1_add_18_16      79     0.658     50.998     62.922        113.919           114.577 
      U_S2_add_18_10             77     0.594     55.559     63.817        119.376           119.969 
    PUs[4].U_F2_U_1             248     2.259    188.703    249.575        438.278           440.537 
      addinc_U_S0_add_18_16      79     0.934     69.747     96.715        166.461           167.395 
      addinc_U_S1_add_18_16      79     0.626     53.326     66.750        120.076           120.702 
      U_S2_add_18_10             77     0.587     58.593     68.387        126.981           127.568 
    PUs[14].U_F2_U_1            250     2.257    186.321    242.178        428.499           430.757 
      addinc_U_S0_add_18_16      79     0.928     71.048     97.760        168.808           169.736 
      addinc_U_S1_add_18_16      82     0.654     54.096     66.728        120.824           121.478 
      U_S2_add_18_10             78     0.603     56.422     64.961        121.382           121.986 
    PUs[1].U_F2_U_1             252     2.233    190.718    253.374        444.092           446.325 
      addinc_U_S0_add_18_16      80     0.910     67.938     99.137        167.075           167.985 
      addinc_U_S1_add_18_16      81     0.633     52.315     65.247        117.562           118.195 
      U_S2_add_18_10             79     0.608     64.361     74.380        138.741           139.350 
    addinc_PUs.._S0_add_18_16    81     1.020     72.005     97.817        169.823           170.843 
    addinc_PUs.._S0_add_18_16    81     1.002     76.874    105.887        182.762           183.764 
    addinc_PUs.._S0_add_18_16    77     1.002     75.491     97.139        172.631           173.632 
    addinc_PUs.._S0_add_18_16    82     1.001     68.734     93.590        162.325           163.325 
    addinc_PUs.._S0_add_18_16    81     1.000     70.614     96.177        166.790           167.790 
    addinc_PUs.._S0_add_18_16    82     0.996     77.684    108.219        185.903           186.899 
    addinc_PUs.._S0_add_18_16    82     0.985     70.861     99.485        170.346           171.331 
    addinc_PUs.._S0_add_18_16    82     0.984     70.228    102.872        173.100           174.085 
    addinc_PUs.._S0_add_18_16    80     0.982     71.699     98.240        169.939           170.922 
    addinc_PUs.._S0_add_18_16    78     0.978     68.270     97.265        165.535           166.513 
    addinc_PUs.._S0_add_18_16    80     0.972     76.343    106.748        183.090           184.062 
    addinc_PUs.._S0_add_18_16    78     0.972     67.527     96.139        163.666           164.638 
    addinc_PUs.._S0_add_18_16    77     0.969     71.021     99.066        170.087           171.056 
    addinc_PUs.._S0_add_18_16    80     0.968     72.222    100.271        172.493           173.460 
    addinc_PUs.._S0_add_18_16    79     0.967     70.498     99.722        170.220           171.187 
    addinc_PUs.._S0_add_18_16    78     0.964     71.543     97.331        168.873           169.837 
    addinc_PUs.._S0_add_18_16    82     0.963     73.829    101.074        174.904           175.867 
    addinc_PUs.._S0_add_18_16    80     0.962     71.311    101.231        172.543           173.505 
    addinc_PUs.._S0_add_18_16    78     0.960     71.553     99.573        171.126           172.086 
    addinc_PUs.._S0_add_18_16    76     0.953     73.522     96.472        169.994           170.947 
    addinc_PUs.._S0_add_18_16    79     0.951     66.868     92.860        159.727           160.678 
    addinc_PUs.._S0_add_18_16    81     0.950     68.492     95.636        164.128           165.078 
    addinc_PUs.._S0_add_18_16    81     0.946     76.502    108.166        184.668           185.614 
    addinc_PUs.._S0_add_18_16    80     0.945     73.067    105.915        178.982           179.927 
    addinc_PUs.._S0_add_18_16    82     0.941     70.744    101.580        172.324           173.265 
    addinc_PUs.._S0_add_18_16    81     0.939     74.677    104.143        178.820           179.759 
    addinc_PUs.._S0_add_18_16    79     0.935     71.407    103.787        175.194           176.128 
    addinc_PUs.._S0_add_18_16    81     0.933     72.778     99.630        172.408           173.340 
    addinc_PUs.._S0_add_18_16    78     0.926     65.575     94.882        160.457           161.383 
    addinc_PUs.._S0_add_18_16    77     0.918     70.504     98.430        168.935           169.853 
    addinc_PUs.._S0_add_18_16    77     0.912     64.794     93.722        158.516           159.429 
    addinc_PUs.._S0_add_18_16    80     0.908     67.559     96.179        163.738           164.646 
    addinc_PUs.._S0_add_18_16    79     0.899     65.844     90.925        156.769           157.668 
    addinc_PUs.._S0_add_18_16    78     0.893     64.707     89.781        154.489           155.382 
    addinc_PUs.._S1_add_18_16    82     0.689     56.771     71.719        128.490           129.179 
    addinc_PUs.._S1_add_18_16    83     0.683     59.505     73.985        133.490           134.173 
    addinc_PUs.._S1_add_18_16    83     0.679     53.054     65.950        119.004           119.682 
    addinc_PUs.._S1_add_18_16    83     0.677     55.895     67.677        123.573           124.250 
    addinc_PUs.._S1_add_18_16    82     0.672     56.478     70.554        127.031           127.704 
    addinc_PUs.._S1_add_18_16    83     0.670     52.163     63.501        115.664           116.334 
    addinc_PUs.._S1_add_18_16    82     0.666     53.999     68.174        122.173           122.839 
    addinc_PUs.._S1_add_18_16    81     0.665     52.493     65.418        117.911           118.576 
    addinc_PUs.._S1_add_18_16    80     0.664     48.024     60.953        108.977           109.641 
    addinc_PUs.._S1_add_18_16    81     0.661     55.377     65.386        120.762           121.423 
    addinc_PUs.._S1_add_18_16    81     0.661     55.081     67.813        122.894           123.555 
    addinc_PUs.._S1_add_18_16    79     0.660     57.122     68.370        125.491           126.151 
    addinc_PUs.._S1_add_18_16    81     0.660     53.333     65.796        119.129           119.789 
    addinc_PUs.._S1_add_18_16    79     0.657     52.240     65.403        117.644           118.300 
    addinc_PUs.._S1_add_18_16    79     0.656     55.109     68.427        123.537           124.192 
    addinc_PUs.._S1_add_18_16    80     0.655     53.382     66.733        120.114           120.770 
    addinc_PUs.._S1_add_18_16    79     0.655     49.784     61.789        111.573           112.228 
    addinc_PUs.._S1_add_18_16    81     0.653     54.914     69.105        124.019           124.671 
