============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 27 2019  03:04:58 am
  Module:                 FME_PIPE_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library     
HS65_LS_NAND2X4           776     1614.080      1.040     215.631    CORE65LPSVT  
HS65_LS_NAND2X43          297     2625.480      9.323     587.787    CORE65LPSVT  
HS65_LS_NAND2X5           851     1770.080      1.686     305.046    CORE65LPSVT  
HS65_LS_NAND2X57           55      657.800      2.245     119.342    CORE65LPSVT  
HS65_LS_NAND2X7         21202    44100.160     43.619    8274.681    CORE65LPSVT  
HS65_LS_NAND3AX13           1        5.720      0.012       1.590    CORE65LPSVT  
HS65_LS_NAND3AX6            1        3.640      0.002       0.032    CORE65LPSVT  
HS65_LS_NAND3X13            2       10.400      0.019       2.117    CORE65LPSVT  
HS65_LS_NAND3X5           140      364.000      0.814      45.212    CORE65LPSVT  
HS65_LS_NOR2AX13          258     1073.280      2.121     219.900    CORE65LPSVT  
HS65_LS_NOR2AX19           50      286.000      0.541      64.013    CORE65LPSVT  
HS65_LS_NOR2AX25           58      392.080      0.917      63.542    CORE65LPSVT  
HS65_LS_NOR2AX3          1888     4908.800      4.633     815.093    CORE65LPSVT  
HS65_LS_NOR2AX6           245      764.400      1.005     159.188    CORE65LPSVT  
HS65_LS_NOR2X13           848     3086.720      5.979     575.869    CORE65LPSVT  
HS65_LS_NOR2X19           269     1398.800      2.388     259.468    CORE65LPSVT  
HS65_LS_NOR2X25           154      960.960      1.476     197.880    CORE65LPSVT  
HS65_LS_NOR2X3              3        6.240      0.005       0.505    CORE65LPSVT  
HS65_LS_NOR2X38            14      123.760      0.208      21.577    CORE65LPSVT  
HS65_LS_NOR2X6           3968     8253.440     12.118    1472.914    CORE65LPSVT  
HS65_LS_NOR2X9             13       47.320      0.073       8.243    CORE65LPSVT  
HS65_LS_OA112X18          101      472.680      1.134     126.375    CORE65LPSVT  
HS65_LS_OA112X9             6       24.960      0.036       3.885    CORE65LPSVT  
HS65_LS_OA12X18           165      686.400      1.942     240.750    CORE65LPSVT  
HS65_LS_OA12X27           107      778.960      1.972     319.063    CORE65LPSVT  
HS65_LS_OA12X35            51      397.800      1.191     177.915    CORE65LPSVT  
HS65_LS_OA12X9            195      709.800      0.959     154.552    CORE65LPSVT  
HS65_LS_OA311X9             1        4.680      0.003       0.034    CORE65LPSVT  
HS65_LS_OAI112X11         152      948.480      1.822     163.746    CORE65LPSVT  
HS65_LS_OAI112X16          18      159.120      0.090      48.958    CORE65LPSVT  
HS65_LS_OAI112X22           4       49.920      0.023      14.872    CORE65LPSVT  
HS65_LS_OAI112X33          20      353.600      0.196     108.410    CORE65LPSVT  
HS65_LS_OAI112X5         8094    29462.160     49.298    7470.560    CORE65LPSVT  
HS65_LS_OAI12X12         1032     5366.400      9.685    1321.503    CORE65LPSVT  
HS65_LS_OAI12X18         1319     8916.440     21.669    2070.366    CORE65LPSVT  
HS65_LS_OAI12X24          853     7540.520     18.662    1769.532    CORE65LPSVT  
HS65_LS_OAI12X3           374      972.400      0.715     150.099    CORE65LPSVT  
HS65_LS_OAI12X37          114     1482.000      3.420     327.052    CORE65LPSVT  
HS65_LS_OAI12X49            6      102.960      0.232      17.782    CORE65LPSVT  
HS65_LS_OAI12X6           336     1048.320      1.192     171.564    CORE65LPSVT  
HS65_LS_OAI13X10            2       12.480      0.025       3.036    CORE65LPSVT  
HS65_LS_OAI13X15            1        8.840      0.017       1.788    CORE65LPSVT  
HS65_LS_OAI13X5             1        3.640      0.000       0.000    CORE65LPSVT  
HS65_LS_OAI211X5           12       43.680      0.069       6.912    CORE65LPSVT  
HS65_LS_OAI212X10           1        8.320      0.010       2.604    CORE65LPSVT  
HS65_LS_OAI212X5          149      619.840      0.873     164.830    CORE65LPSVT  
HS65_LS_OAI21X12           71      369.200      0.690      79.726    CORE65LPSVT  
HS65_LS_OAI21X18           93      628.680      1.393     150.679    CORE65LPSVT  
HS65_LS_OAI21X24           22      194.480      0.428      34.788    CORE65LPSVT  
HS65_LS_OAI21X3           941     2446.600      1.729     250.240    CORE65LPSVT  
HS65_LS_OAI21X37           16      208.000      0.430      32.656    CORE65LPSVT  
HS65_LS_OAI21X49            6      102.960      0.224      13.560    CORE65LPSVT  
HS65_LS_OAI21X6            10       31.200      0.029       6.842    CORE65LPSVT  
HS65_LS_OAI22X11            9       56.160      0.075       8.798    CORE65LPSVT  
HS65_LS_OAI22X17            6       53.040      0.080       8.562    CORE65LPSVT  
HS65_LS_OAI22X6            87      316.680      0.409      56.740    CORE65LPSVT  
HS65_LS_OR2ABX18           20       83.200      0.213      32.225    CORE65LPSVT  
HS65_LS_OR2ABX27            2       11.440      0.025       2.277    CORE65LPSVT  
HS65_LS_OR2ABX35           33      188.760      0.724      89.075    CORE65LPSVT  
HS65_LS_OR2ABX9             1        3.640      0.003       0.032    CORE65LPSVT  
HS65_LS_OR2X18            573     2085.720      5.187     604.114    CORE65LPSVT  
HS65_LS_OR2X27             37      211.640      0.500      67.501    CORE65LPSVT  
HS65_LS_OR2X35             14       87.360      0.276      29.406    CORE65LPSVT  
HS65_LS_OR2X9            1528     4767.360      6.662    1067.107    CORE65LPSVT  
HS65_LS_OR3ABCX35           1        6.240      0.019       0.624    CORE65LPSVT  
HS65_LS_OR3X4               1        3.640      0.004       0.355    CORE65LPSVT  
HS65_LS_OR3X9               1        3.640      0.003       0.084    CORE65LPSVT  
HS65_LS_PAO2X18            15       85.800      0.175      30.143    CORE65LPSVT  
HS65_LS_PAO2X9            132      617.760      0.648     149.808    CORE65LPSVT  
HS65_LS_PAOI2X11          332     2589.600      3.295     642.716    CORE65LPSVT  
