============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  03:29:17 am
  Module:                 FME_INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library    
HS65_LS_IVX40              12       49.920      0.173       5.730    CORE65LPSVT 
HS65_LS_IVX44             607     2525.120      9.759     410.300    CORE65LPSVT 
HS65_LS_IVX49               2       10.400      0.037       0.934    CORE65LPSVT 
HS65_LS_IVX53             339     1762.800      6.806     220.385    CORE65LPSVT 
HS65_LS_IVX62              37      211.640      0.875      29.432    CORE65LPSVT 
HS65_LS_IVX7               14       21.840      0.025       1.648    CORE65LPSVT 
HS65_LS_IVX71             451     2814.240     12.340     351.997    CORE65LPSVT 
HS65_LS_IVX9            15080    23524.800     38.669    2274.787    CORE65LPSVT 
HS65_LS_MUX21I1X12        829     5604.040     10.936    1031.111    CORE65LPSVT 
HS65_LS_MUX21I1X18        312     3244.800      6.584     551.780    CORE65LPSVT 
HS65_LS_MUX21I1X24         30      374.400      0.884      67.203    CORE65LPSVT 
HS65_LS_MUX21I1X6         166      690.560      1.120      99.095    CORE65LPSVT 
HS65_LS_MUX21X18            8       49.920      0.128       8.838    CORE65LPSVT 
HS65_LS_MUX21X4           580     2412.800      2.663     298.879    CORE65LPSVT 
HS65_LS_MUX21X9            15       70.200      0.121      10.030    CORE65LPSVT 
HS65_LS_MUXI21X10          10       83.200      0.122       9.971    CORE65LPSVT 
HS65_LS_MUXI21X15          20      208.000      0.377      24.982    CORE65LPSVT 
HS65_LS_MUXI21X20           1       14.040      0.023       1.457    CORE65LPSVT 
HS65_LS_NAND2AX14         732     3045.120      6.827     418.794    CORE65LPSVT 
HS65_LS_NAND2AX21         550     3146.000      7.458     445.877    CORE65LPSVT 
HS65_LS_NAND2AX29         150     1014.000      2.888     175.981    CORE65LPSVT 
HS65_LS_NAND2AX7         2714     8467.680     14.197    1154.857    CORE65LPSVT 
HS65_LS_NAND2X11            8       29.120      0.039       2.337    CORE65LPSVT 
HS65_LS_NAND2X14         1989     7239.960     13.658     921.984    CORE65LPSVT 
HS65_LS_NAND2X21         1172     6094.400     12.865     816.877    CORE65LPSVT 
HS65_LS_NAND2X29          354     2208.960      5.640     236.352    CORE65LPSVT 
HS65_LS_NAND2X43           49      433.160      0.984      47.789    CORE65LPSVT 
HS65_LS_NAND2X5             3        6.240      0.008       0.262    CORE65LPSVT 
HS65_LS_NAND2X57           15      179.400      0.657      27.822    CORE65LPSVT 
HS65_LS_NAND2X7          4308     8960.640      9.731     859.648    CORE65LPSVT 
HS65_LS_NAND3AX6            1        3.640      0.002       0.192    CORE65LPSVT 
HS65_LS_NAND3X5           130      338.000      0.801      20.163    CORE65LPSVT 
HS65_LS_NOR2AX13          722     3003.520      6.312     522.837    CORE65LPSVT 
HS65_LS_NOR2AX19          124      709.280      1.559      89.798    CORE65LPSVT 
HS65_LS_NOR2AX25           31      209.560      0.330      22.359    CORE65LPSVT 
HS65_LS_NOR2AX3          1701     4422.600      3.971     329.279    CORE65LPSVT 
HS65_LS_NOR2AX6           384     1198.080      1.368     117.240    CORE65LPSVT 
HS65_LS_NOR2X13          1466     5336.240      9.798     694.079    CORE65LPSVT 
HS65_LS_NOR2X19           478     2485.600      4.578     349.513    CORE65LPSVT 
HS65_LS_NOR2X25           158      985.920      2.064     134.323    CORE65LPSVT 
HS65_LS_NOR2X38            65      574.600      1.701      88.766    CORE65LPSVT 
HS65_LS_NOR2X50             4       47.840      0.121       4.552    CORE65LPSVT 
HS65_LS_NOR2X6           3502     7284.160     10.389     639.566    CORE65LPSVT 
HS65_LS_NOR2X9              6       21.840      0.038       1.641    CORE65LPSVT 
HS65_LS_OA12X18           114      474.240      1.351     191.240    CORE65LPSVT 
HS65_LS_OA12X27            85      618.800      1.647     176.666    CORE65LPSVT 
HS65_LS_OA12X35            51      397.800      1.336      76.738    CORE65LPSVT 
HS65_LS_OA12X9             95      345.800      0.398      33.738    CORE65LPSVT 
HS65_LS_OA311X9             1        4.680      0.003       0.034    CORE65LPSVT 
HS65_LS_OA31X18            11       57.200      0.109       9.287    CORE65LPSVT 
HS65_LS_OA31X9            115      478.400      0.639      53.856    CORE65LPSVT 
HS65_LS_OA32X18            11       62.920      0.091      11.301    CORE65LPSVT 
HS65_LS_OAI112X11          37      230.880      0.479      24.657    CORE65LPSVT 
HS65_LS_OAI112X16          26      229.840      0.593      25.356    CORE65LPSVT 
HS65_LS_OAI112X22           5       62.400      0.134       8.298    CORE65LPSVT 
HS65_LS_OAI112X33           2       35.360      0.084       4.765    CORE65LPSVT 
HS65_LS_OAI112X5           78      283.920      0.239      44.519    CORE65LPSVT 
HS65_LS_OAI12X12          683     3551.600      6.462     501.727    CORE65LPSVT 
HS65_LS_OAI12X18          677     4576.520     10.481     735.285    CORE65LPSVT 
HS65_LS_OAI12X24          317     2802.280      6.467     343.472    CORE65LPSVT 
HS65_LS_OAI12X3          1355     3523.000      2.485     363.716    CORE65LPSVT 
HS65_LS_OAI12X37          216     2808.000      7.717     306.206    CORE65LPSVT 
HS65_LS_OAI12X49            4       68.640      0.221       7.923    CORE65LPSVT 
HS65_LS_OAI12X6           364     1135.680      1.521     115.872    CORE65LPSVT 
HS65_LS_OAI13X10           67      418.080      0.590      61.927    CORE65LPSVT 
HS65_LS_OAI13X15           28      247.520      0.516      35.134    CORE65LPSVT 
HS65_LS_OAI13X20           18      215.280      0.301      23.490    CORE65LPSVT 
HS65_LS_OAI13X30           28      480.480      0.647      55.153    CORE65LPSVT 
HS65_LS_OAI13X40            2       45.760      0.062       5.241    CORE65LPSVT 
HS65_LS_OAI13X5             1        3.640      0.000       0.024    CORE65LPSVT 
HS65_LS_OAI211X11           1        6.240      0.002       0.642    CORE65LPSVT 
HS65_LS_OAI212X5          166      690.560      0.999      85.535    CORE65LPSVT 
HS65_LS_OAI21X12            9       46.800      0.080       5.558    CORE65LPSVT 
HS65_LS_OAI21X18           29      196.040      0.356      21.911    CORE65LPSVT 
HS65_LS_OAI21X24           39      344.760      0.688      31.134    CORE65LPSVT 
HS65_LS_OAI21X3           560     1456.000      1.105      87.459    CORE65LPSVT 
HS65_LS_OAI21X37           40      520.000      1.048      56.968    CORE65LPSVT 
HS65_LS_OAI21X49            5       85.800      0.190       7.740    CORE65LPSVT 
HS65_LS_OAI21X6            18       56.160      0.058       3.653    CORE65LPSVT 
HS65_LS_OAI22X11            6       37.440      0.054       4.570    CORE65LPSVT 
HS65_LS_OAI22X17           41      362.440      0.585      52.422    CORE65LPSVT 
HS65_LS_OAI22X22           48      574.080      1.024      80.847    CORE65LPSVT 
HS65_LS_OAI22X33            1       17.160      0.034       1.525    CORE65LPSVT 
HS65_LS_OAI22X6            30      109.200      0.130      13.961    CORE65LPSVT 
HS65_LS_OAI32X14           43      469.560      0.305      59.607    CORE65LPSVT 
HS65_LS_OAI32X5           134      557.440      0.590      63.731    CORE65LPSVT 
HS65_LS_OAI32X9            11       85.800      0.050      10.723    CORE65LPSVT 
HS65_LS_OR2ABX18           50      208.000      0.528      41.690    CORE65LPSVT 
HS65_LS_OR2ABX27           21      120.120      0.263      18.700    CORE65LPSVT 
HS65_LS_OR2ABX35           21      120.120      0.475      33.251    CORE65LPSVT 
HS65_LS_OR2X18            302     1099.280      2.714     179.763    CORE65LPSVT 
HS65_LS_OR2X27            189     1081.080      2.764     222.208    CORE65LPSVT 
HS65_LS_OR2X35             45      280.800      0.951      70.980    CORE65LPSVT 
HS65_LS_OR2X4               2        6.240      0.005       0.127    CORE65LPSVT 
HS65_LS_OR2X9            1143     3566.160      5.519     431.525    CORE65LPSVT 
HS65_LS_OR3ABCX18           1        5.200      0.008       0.062    CORE65LPSVT 
HS65_LS_OR3X18             14       65.520      0.093       5.812    CORE65LPSVT 
