============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2019  03:45:03 pm
  Module:                 FME_PIPE_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
    PUs[4].U_F4_U_p2             10     0.093    93.312     6.496         99.807            99.901 
    PUs[1].U_F4_U_p11            10     0.093    93.908     7.155        101.063           101.156 
  U_buffer                     1892    11.467  7277.872  2652.835       9930.707          9942.174 
  U_crtl                         92     0.555   225.352    59.143        284.495           285.050 
    inc_add_859_29                9     0.041     0.517     0.423          0.939             0.980 
    inc_add_829_29                8     0.036     1.112     0.921          2.033             2.068 
    inc_add_844_29                8     0.036     0.612     0.513          1.125             1.160 
    lt_764_18                     2     0.013     0.000     0.000          0.000             0.013 
    lt_757_18                     2     0.011     0.055     0.045          0.100             0.112 
    lt_771_18                     2     0.011     0.000     0.000          0.000             0.011 
  clipping[0].U_clip             17     0.163    18.286    15.415         33.701            33.864 
    gte_627_34                    8     0.104    13.124     8.831         21.955            22.060 
  clipping[2].U_clip             17     0.153    16.795    14.425         31.220            31.374 
    gte_627_34                    8     0.095    11.683     7.632         19.315            19.410 
  clipping[3].U_clip             17     0.153    16.300    13.260         29.560            29.713 
    gte_627_34                    8     0.095    10.967     7.050         18.017            18.112 
  clipping[6..ip_gte_627_34       8     0.100    11.448     7.457         18.905            19.004 
  clipping[5..ip_gte_627_34       8     0.100    11.437     7.550         18.987            19.087 
  clipping[8..ip_gte_627_34       8     0.097    10.675     7.072         17.748            17.845 
  clipping[9..ip_gte_627_34       8     0.097    12.260     8.043         20.303            20.400 
  clipping[1..ip_gte_627_34       8     0.096    13.619     8.921         22.539            22.635 
  clipping[1..ip_gte_627_34       8     0.095    12.774     8.379         21.154            21.249 
  clipping[1..ip_gte_627_34       8     0.094    11.231     7.491         18.722            18.816 
  clipping[4].U_clip             12     0.048     7.716     7.455         15.171            15.218 
    gte_627_34                    4     0.009     1.853     3.929          5.783             5.792 
  clipping[1].U_clip             12     0.048     7.726     7.139         14.864            14.912 
    gte_627_34                    4     0.008     1.700     3.521          5.220             5.229 
  clipping[1..ip_gte_627_34       4     0.009     1.710     3.613          5.324             5.333 
  clipping[7..ip_gte_627_34       4     0.009     1.877     3.851          5.728             5.737 
  clipping[1..ip_gte_627_34       4     0.009     1.900     3.851          5.751             5.760 

