============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  11:44:26 am
  Module:                 FME_INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
    addinc_PUs..S22_add_18_16    15     0.086     8.335     9.168         17.503            17.589 
    addinc_PUs.._S2_add_18_16    15     0.086     7.905     8.749         16.654            16.740 
    addinc_PUs.._S2_add_18_16    15     0.086     7.976     8.891         16.867            16.953 
    addinc_PUs..S22_add_18_16    15     0.086     6.868     7.575         14.443            14.529 
    addinc_PUs.._S2_add_18_16    15     0.086     7.732     8.681         16.413            16.499 
    addinc_PUs.._S2_add_18_16    15     0.086     8.515     9.422         17.937            18.023 
    addinc_PUs.._S2_add_18_16    15     0.086     7.950     8.844         16.794            16.880 
    addinc_PUs..S22_add_18_16    15     0.086     7.798     8.656         16.455            16.541 
    addinc_PUs..S22_add_18_16    15     0.086     8.249     9.192         17.441            17.527 
    addinc_PUs.._S2_add_18_16    15     0.086     8.372     9.180         17.552            17.638 
    addinc_PUs..S22_add_18_16    15     0.086     8.534     9.406         17.941            18.027 
    addinc_PUs.._S2_add_18_16    15     0.086     8.247     9.009         17.256            17.342 
    addinc_PUs.._S2_add_18_16    15     0.086     7.358     8.234         15.591            15.677 
    addinc_PUs..S22_add_18_16    15     0.086     6.756     7.438         14.193            14.279 
    addinc_PUs.._S2_add_18_16    15     0.086     9.136    10.002         19.138            19.224 
    addinc_PUs..S22_add_18_16    15     0.086     7.426     8.254         15.680            15.766 
    addinc_PUs..S22_add_18_16    15     0.086     7.422     8.216         15.638            15.724 
    addinc_PUs..S22_add_18_16    15     0.086     8.784     9.671         18.454            18.540 
    addinc_PUs..S22_add_18_16    15     0.086     7.264     8.149         15.413            15.499 
    addinc_PUs.._S2_add_18_16    15     0.086     7.401     8.167         15.568            15.654 
    addinc_PUs.._S1_add_18_16    12     0.070     4.901     7.532         12.432            12.502 
    addinc_PUs.._S1_add_18_16    12     0.070     5.511     8.347         13.858            13.928 
    addinc_PUs.._S1_add_18_16    12     0.069     5.155     7.987         13.143            13.212 
    addinc_PUs.._S1_add_18_16    12     0.069     5.644     6.124         11.769            11.838 
    addinc_PUs.._S1_add_18_16    12     0.069     4.926     7.696         12.622            12.692 
    addinc_PUs.._S1_add_18_16    12     0.069     5.324     8.005         13.329            13.398 
    addinc_PUs.._S1_add_18_16    12     0.069     5.516     6.042         11.558            11.628 
    addinc_PUs.._S1_add_18_16    12     0.069     5.293     8.192         13.485            13.554 
    addinc_PUs.._S1_add_18_16    12     0.069     5.492     8.487         13.979            14.048 
    addinc_PUs.._S1_add_18_16    12     0.069     4.557     5.056          9.613             9.682 
    addinc_PUs.._S1_add_18_16    12     0.069     5.458     8.231         13.689            13.758 
    addinc_PUs.._S1_add_18_16    12     0.069     5.185     5.631         10.815            10.884 
    addinc_PUs.._S1_add_18_16    12     0.069     4.939     5.474         10.413            10.482 
    addinc_PUs.._S1_add_18_16    12     0.069     4.767     7.270         12.037            12.106 
    addinc_PUs.._S1_add_18_16    12     0.069     5.187     5.690         10.877            10.946 
    addinc_PUs.._S1_add_18_16    12     0.069     4.399     7.074         11.473            11.542 
    addinc_PUs.._S1_add_18_16    12     0.069     5.490     8.337         13.828            13.896 
    addinc_PUs.._S1_add_18_16    12     0.069     5.576     8.425         14.001            14.069 
    addinc_PUs.._S1_add_18_16    12     0.069     4.883     7.427         12.310            12.378 
    addinc_PUs.._S1_add_18_16    12     0.068     5.307     8.283         13.590            13.658 
    PUs[7].U_F.._S0_add_18_10     9     0.063     4.733    12.056         16.788            16.851 
    PUs[1].U_F.._S0_add_18_10     9     0.063     4.473    11.145         15.618            15.681 
    PUs[0].U_F.._S0_add_18_10     9     0.063     5.103    12.162         17.265            17.328 
    PUs[16].U_.._S0_add_18_10     9     0.063     4.911     7.051         11.962            12.025 
    PUs[4].U_F.._S0_add_18_10     9     0.063     4.183    10.698         14.881            14.944 
    PUs[2].U_F.._S0_add_18_10     9     0.063     5.033    12.598         17.632            17.694 
    PUs[6].U_F.._S0_add_18_10     9     0.062     4.961    12.690         17.652            17.714 
    PUs[9].U_F.._S0_add_18_10     9     0.062     4.906    12.638         17.544            17.607 
    PUs[3].U_F.._S0_add_18_10     9     0.062     4.826    11.851         16.677            16.739 
    PUs[0].U_F.._S0_add_18_10     9     0.062     3.862     5.433          9.295             9.357 
    PUs[8].U_F.._S0_add_18_10     9     0.062     5.249    13.392         18.641            18.703 
    PUs[11].U_.._S0_add_18_10     9     0.062     4.571    12.103         16.674            16.736 
    PUs[0].U_F.._S0_add_18_10     9     0.062     4.269    10.960         15.230            15.292 
    PUs[15].U_.._S0_add_18_10     9     0.062     4.125     8.089         12.214            12.276 
    PUs[0].U_F.._S0_add_18_10     9     0.062     4.626     9.255         13.880            13.943 
    PUs[14].U_.._S0_add_18_10     9     0.062     4.196    10.977         15.173            15.235 
    PUs[5].U_F.._S0_add_18_10     9     0.062     4.687    12.453         17.140            17.202 
    PUs[12].U_.._S0_add_18_10     9     0.062     4.955    12.563         17.518            17.580 
