============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  09:54:43 am
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal     Net        Dynamic          Total       
                                                                   (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW) Power(uW)    Power(uW)       Power(uW)     
----------------------------------------------------------------------------------------------------
    addinc_PUs.._S1_add_18_16    85     1.177     69.566    79.845        149.411           150.587 
    addinc_PUs.._S1_add_18_16    84     1.167     60.343    68.712        129.054           130.221 
    addinc_PUs.._S1_add_18_16    86     1.166     59.376    69.919        129.295           130.461 
    addinc_PUs.._S1_add_18_16    84     1.166     60.675    66.400        127.075           128.240 
    addinc_PUs.._S1_add_18_16    86     1.165     59.908    68.556        128.464           129.629 
    addinc_PUs.._S1_add_18_16    88     1.165     62.216    71.002        133.218           134.382 
    addinc_PUs.._S1_add_18_16    86     1.159     65.862    77.393        143.255           144.415 
    addinc_PUs.._S1_add_18_16    83     1.158     63.176    70.652        133.828           134.986 
    addinc_PUs.._S1_add_18_16    84     1.156     57.679    67.876        125.555           126.712 
    addinc_PUs.._S1_add_18_16    85     1.150     63.862    70.245        134.108           135.257 
    addinc_PUs.._S1_add_18_16    85     1.147     65.738    74.141        139.879           141.026 
    addinc_PUs.._S1_add_18_16    83     1.145     58.809    65.170        123.979           125.124 
    addinc_PUs.._S1_add_18_16    85     1.144     52.862    60.837        113.699           114.844 
    addinc_PUs.._S1_add_18_16    83     1.142     59.626    68.693        128.319           129.462 
    addinc_PUs.._S1_add_18_16    85     1.140     59.884    68.704        128.588           129.729 
    addinc_PUs.._S1_add_18_16    86     1.137     64.136    68.024        132.160           133.297 
    addinc_PUs.._S1_add_18_16    82     1.123     59.721    65.480        125.200           126.323 
    addinc_PUs.._S1_add_18_16    83     1.101     60.338    62.875        123.213           124.314 
    addinc_PUs..S10_add_41_28     3     0.031      3.268     3.516          6.784             6.815 
    addinc_PUs..S10_add_41_28     3     0.031      3.703     4.049          7.752             7.783 
    addinc_PUs..S10_add_41_28     3     0.031      3.004     3.204          6.208             6.239 
    addinc_PUs..S10_add_41_28     3     0.031      3.336     3.546          6.881             6.912 
    addinc_PUs..S10_add_41_28     3     0.031      2.941     3.146          6.087             6.118 
    addinc_PUs..S10_add_41_28     3     0.031      2.902     3.201          6.103             6.133 
    addinc_PUs..S10_add_41_28     3     0.031      3.170     3.363          6.533             6.564 
    addinc_PUs..S10_add_41_28     3     0.030      3.705     4.143          7.849             7.879 
    addinc_PUs..S10_add_41_28     3     0.030      2.837     3.116          5.953             5.983 
    addinc_PUs..S10_add_41_28     3     0.030      3.373     3.524          6.897             6.927 
    addinc_PUs..S10_add_41_28     3     0.030      2.992     3.322          6.314             6.344 
    addinc_PUs..S10_add_41_28     3     0.018      2.120     2.414          4.534             4.552 
    addinc_PUs..S10_add_41_28     3     0.017      2.413     2.854          5.267             5.284 
    addinc_PUs..S10_add_41_28     3     0.017      2.168     2.397          4.565             4.582 
    addinc_PUs..S10_add_41_28     3     0.017      2.411     2.576          4.987             5.005 
    addinc_PUs..S10_add_41_28     3     0.017      2.083     2.378          4.461             4.479 
    addinc_PUs..S10_add_41_28     3     0.017      2.119     2.391          4.510             4.528 
    addinc_PUs..S10_add_41_28     3     0.017      2.141     2.446          4.587             4.605 
    addinc_PUs..S10_add_41_28     3     0.017      1.960     2.137          4.097             4.114 
    addinc_PUs..S10_add_41_28     3     0.017      2.376     2.627          5.003             5.020 
    addinc_PUs..S10_add_41_28     3     0.017      2.616     2.922          5.538             5.556 
    addinc_PUs..S10_add_41_28     3     0.017      2.044     2.347          4.392             4.409 
    addinc_PUs..S10_add_41_28     3     0.017      1.687     1.870          3.557             3.574 
    addinc_PUs..S10_add_41_28     3     0.017      2.385     2.821          5.207             5.224 
    addinc_PUs..S10_add_41_28     3     0.017      2.146     2.414          4.560             4.577 
    addinc_PUs..S10_add_41_28     3     0.017      1.920     2.078          3.998             4.016 
    addinc_PUs..S10_add_41_28     3     0.017      1.963     2.148          4.111             4.129 
    addinc_PUs..S10_add_41_28     3     0.017      2.336     2.686          5.022             5.039 
    addinc_PUs..S10_add_41_28     3     0.017      1.956     2.117          4.073             4.091 
    addinc_PUs..S10_add_41_28     3     0.017      1.941     2.094          4.035             4.052 
    addinc_PUs..S10_add_41_28     3     0.017      2.206     2.267          4.473             4.490 
    addinc_PUs..S10_add_41_28     3     0.017      1.934     2.094          4.027             4.044 
    addinc_PUs..S10_add_41_28     3     0.017      2.277     2.594          4.871             4.888 
  U_crtl                         94     0.542    158.915    44.278        203.192           203.735 
    inc_add_679_29                9     0.041      1.240     0.838          2.078             2.119 
    inc_add_649_29                8     0.036      1.161     0.818          1.979             2.015 
    inc_add_664_29                8     0.036      1.087     0.834          1.921             1.957 
    lt_577_18                     3     0.012      0.870     0.653          1.523             1.534 
    lt_591_18                     2     0.010      0.206     0.195          0.401             0.411 
