============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  04:49:44 am
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library     
HS65_LS_OAI112X11          23     143.520      0.323      47.467    CORE65LPSVT  
HS65_LS_OAI112X5           20      72.800      0.135      20.261    CORE65LPSVT  
HS65_LS_OAI12X12          402    2090.400      4.272     312.506    CORE65LPSVT  
HS65_LS_OAI12X18          245    1656.200      4.469     275.255    CORE65LPSVT  
HS65_LS_OAI12X24           21     185.640      0.404      33.548    CORE65LPSVT  
HS65_LS_OAI12X3            92     239.200      0.201      41.909    CORE65LPSVT  
HS65_LS_OAI12X37           38     494.000      1.043      85.620    CORE65LPSVT  
HS65_LS_OAI12X6           176     549.120      0.791      81.059    CORE65LPSVT  
HS65_LS_OAI12X9             1       5.200      0.007       0.397    CORE65LPSVT  
HS65_LS_OAI13X15            2      17.680      0.025       2.904    CORE65LPSVT  
HS65_LS_OAI13X5             1       3.640      0.001       0.028    CORE65LPSVT  
HS65_LS_OAI211X11          44     274.560      0.614      60.749    CORE65LPSVT  
HS65_LS_OAI211X5           21      76.440      0.024       6.571    CORE65LPSVT  
HS65_LS_OAI212X5           28     116.480      0.178      27.042    CORE65LPSVT  
HS65_LS_OAI21X18            2      13.520      0.031       3.119    CORE65LPSVT  
HS65_LS_OAI21X24           19     167.960      0.377      34.593    CORE65LPSVT  
HS65_LS_OAI21X3           819    2129.400      1.739     238.520    CORE65LPSVT  
HS65_LS_OAI21X37            4      52.000      0.110       8.144    CORE65LPSVT  
HS65_LS_OAI22X11           63     393.120      0.540      62.598    CORE65LPSVT  
HS65_LS_OAI22X17            2      17.680      0.027       3.238    CORE65LPSVT  
HS65_LS_OAI22X22            1      11.960      0.019       2.031    CORE65LPSVT  
HS65_LS_OAI22X6            89     323.960      0.271      56.029    CORE65LPSVT  
HS65_LS_OAI311X15           1      10.920      0.020       2.160    CORE65LPSVT  
HS65_LS_OAI311X5           21      87.360      0.066       7.718    CORE65LPSVT  
HS65_LS_OAI32X9             1       7.800      0.003       0.691    CORE65LPSVT  
HS65_LS_OR2ABX18            6      24.960      0.064      10.254    CORE65LPSVT  
HS65_LS_OR2ABX27            1       5.720      0.016       2.552    CORE65LPSVT  
HS65_LS_OR2ABX35           53     303.160      1.209     169.310    CORE65LPSVT  
HS65_LS_OR2X18             55     200.200      0.456      38.811    CORE65LPSVT  
HS65_LS_OR2X27              2      11.440      0.020       0.075    CORE65LPSVT  
HS65_LS_OR2X35              1       6.240      0.015       0.000    CORE65LPSVT  
HS65_LS_OR2X4               2       6.240      0.005       0.145    CORE65LPSVT  
HS65_LS_OR2X9             897    2798.640      3.874     530.501    CORE65LPSVT  
HS65_LS_OR3ABCX18           1       5.200      0.008       0.680    CORE65LPSVT  
HS65_LS_OR3ABCX35           1       6.240      0.019       0.000    CORE65LPSVT  
HS65_LS_OR3X4               1       3.640      0.004       0.527    CORE65LPSVT  
HS65_LS_OR4X4               1       5.200      0.006       0.773    CORE65LPSVT  
HS65_LS_PAOI2X11           95     741.000      0.717     107.653    CORE65LPSVT  
HS65_LS_PAOI2X17           33     360.360      0.387      57.312    CORE65LPSVT  
HS65_LS_SDFPRQX9          189    2358.720      2.004    2074.591    CORE65LPSVT  
HS65_LS_XNOR2X18          166    1122.160      3.638     343.130    CORE65LPSVT  
HS65_LS_XNOR2X27          116    1206.400      3.654     359.175    CORE65LPSVT  
HS65_LS_XNOR2X35           77     880.880      3.342     316.307    CORE65LPSVT  
HS65_LS_XNOR2X4           108     505.440      0.614      85.353    CORE65LPSVT  
HS65_LS_XNOR2X9             7      36.400      0.068       7.555    CORE65LPSVT  
HS65_LS_XOR2X18           310    2095.600      6.826     689.080    CORE65LPSVT  
HS65_LS_XOR2X27            36     374.400      1.149     113.526    CORE65LPSVT  
HS65_LS_XOR2X35           132    1510.080      5.784     549.405    CORE65LPSVT  
HS65_LS_XOR2X4             12      56.160      0.072       9.052    CORE65LPSVT  
HS65_LS_XOR2X9             56     291.200      0.553      61.005    CORE65LPSVT  
---------------------------------------------------------------------------------
total                  137552  904619.040    941.953  494218.257                 


                                                Leakage  Leakage  Internal  Internal 
   Library   Instances Instances %    Area    Power (uW) Power % Power (uW)  Power % 
-------------------------------------------------------------------------------------
CLOCK65LPSVT       233         0.2   2544.360      6.587     0.7   1233.849      0.2 
CORE65LPSVT     137319        99.8 902074.680    935.366    99.3 492984.409     99.8 

                                             Leakage  Leakage  Internal  Internal 
     Type      Instances    Area    Area % Power (uW) Power % Power (uW)  Power % 
----------------------------------------------------------------------------------
sequential         49780 509367.040   56.3    490.062    52.0 415586.518     84.1 
inverter           16497  33076.680    3.7     79.247     8.4   5957.799      1.2 
buffer               128   1318.720    0.1      6.354     0.7    672.554      0.1 
logic              71147 360856.600   39.9    366.290    38.9  72001.386     14.6 
physical_cells         0      0.000    0.0      0.000     0.0      0.000      0.0 
----------------------------------------------------------------------------------
total             137552 904619.040  100.0    941.953   100.0 494218.257    100.0 

