============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  01:52:13 pm
  Module:                 INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
HS65_LS_OA12X18            34    141.440    CORE65LPSVT 
HS65_LS_OA12X9            170    618.800    CORE65LPSVT 
HS65_LS_OA22X9             17     79.560    CORE65LPSVT 
HS65_LS_OAI112X5           34    123.760    CORE65LPSVT 
HS65_LS_OAI12X12          221   1149.200    CORE65LPSVT 
HS65_LS_OAI12X18          119    804.440    CORE65LPSVT 
HS65_LS_OAI12X24           34    300.560    CORE65LPSVT 
HS65_LS_OAI12X6           102    318.240    CORE65LPSVT 
HS65_LS_OAI13X30           34    583.440    CORE65LPSVT 
HS65_LS_OAI21X3           136    353.600    CORE65LPSVT 
HS65_LS_OAI22X6            34    123.760    CORE65LPSVT 
HS65_LS_OAI311X5           34    141.440    CORE65LPSVT 
HS65_LS_OAI32X5            34    141.440    CORE65LPSVT 
HS65_LS_OR2X18             17     61.880    CORE65LPSVT 
HS65_LS_OR2X27             34    194.480    CORE65LPSVT 
HS65_LS_OR2X9             340   1060.800    CORE65LPSVT 
HS65_LS_OR3X9              17     61.880    CORE65LPSVT 
HS65_LS_PAO2X18           131    749.320    CORE65LPSVT 
HS65_LS_PAO2X9             56    262.080    CORE65LPSVT 
HS65_LS_PAOI2X11           48    374.400    CORE65LPSVT 
HS65_LS_PAOI2X6            54    224.640    CORE65LPSVT 
HS65_LS_XNOR2X18          153   1034.280    CORE65LPSVT 
HS65_LS_XNOR2X9           102    530.400    CORE65LPSVT 
HS65_LS_XOR2X18           221   1493.960    CORE65LPSVT 
HS65_LS_XOR2X27            51    530.400    CORE65LPSVT 
HS65_LS_XOR2X4             34    159.120    CORE65LPSVT 
HS65_LS_XOR2X9            136    707.200    CORE65LPSVT 
HS65_LS_XOR3X9             17    159.120    CORE65LPSVT 
--------------------------------------------------------
total                   13412  75860.720                


                                          
     Type      Instances    Area   Area % 
------------------------------------------
sequential           710  7503.600    9.9 
inverter            2633  5884.320    7.8 
buffer               226  1395.680    1.8 
logic               9843 61077.120   80.5 
physical_cells         0     0.000    0.0 
------------------------------------------
total              13412 75860.720  100.0 

