============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 23 2020  03:01:01 am
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library    
HS65_LS_MUXI21X5           87      407.160      0.489      14.408    CORE65LPSVT 
HS65_LS_MUXI31X2          109      793.520      0.430      11.323    CORE65LPSVT 
HS65_LS_MUXI31X4           11       85.800      0.079       1.972    CORE65LPSVT 
HS65_LS_MUXI31X7            1       14.040      0.014       0.363    CORE65LPSVT 
HS65_LS_NAND2AX14        1189     4946.240     11.160     331.914    CORE65LPSVT 
HS65_LS_NAND2AX21         515     2945.800      7.040     174.855    CORE65LPSVT 
HS65_LS_NAND2AX29          44      297.440      0.772      13.221    CORE65LPSVT 
HS65_LS_NAND2AX7         2957     9225.840     14.516     337.285    CORE65LPSVT 
HS65_LS_NAND2X11            2        7.280      0.010       0.108    CORE65LPSVT 
HS65_LS_NAND2X14         1872     6814.080     13.678     223.857    CORE65LPSVT 
HS65_LS_NAND2X21          730     3796.000      8.683     132.291    CORE65LPSVT 
HS65_LS_NAND2X29          616     3843.840     11.984     167.394    CORE65LPSVT 
HS65_LS_NAND2X43          289     2554.760      8.911     106.549    CORE65LPSVT 
HS65_LS_NAND2X5             1        2.080      0.001       0.016    CORE65LPSVT 
HS65_LS_NAND2X57           21      251.160      0.842       9.938    CORE65LPSVT 
HS65_LS_NAND2X7         13801    28706.080     34.824     921.550    CORE65LPSVT 
HS65_LS_NAND3AX6          129      469.560      0.604      11.482    CORE65LPSVT 
HS65_LS_NAND3X13           69      358.800      0.743      10.984    CORE65LPSVT 
HS65_LS_NAND3X19          107      723.320      1.774      25.968    CORE65LPSVT 
HS65_LS_NAND3X25           32      282.880      0.727      10.388    CORE65LPSVT 
HS65_LS_NAND3X38            1       13.000      0.031       0.482    CORE65LPSVT 
HS65_LS_NAND3X6             4       12.480      0.019       0.329    CORE65LPSVT 
HS65_LS_NAND4X27           26      216.320      0.576      11.537    CORE65LPSVT 
HS65_LS_NAND4X35            6       56.160      0.188       3.554    CORE65LPSVT 
HS65_LS_NOR2AX13          416     1730.560      3.366      83.120    CORE65LPSVT 
HS65_LS_NOR2AX19           23      131.560      0.206       5.277    CORE65LPSVT 
HS65_LS_NOR2AX25            3       20.280      0.030       0.746    CORE65LPSVT 
HS65_LS_NOR2AX3          5068    13176.800     12.857     400.959    CORE65LPSVT 
HS65_LS_NOR2AX6           371     1157.520      1.536      38.225    CORE65LPSVT 
HS65_LS_NOR2X13          1168     4251.520      6.966     123.564    CORE65LPSVT 
HS65_LS_NOR2X19           511     2657.200      5.218      85.414    CORE65LPSVT 
HS65_LS_NOR2X25           325     2028.000      4.902      77.303    CORE65LPSVT 
HS65_LS_NOR2X38           119     1051.960      3.088      47.193    CORE65LPSVT 
HS65_LS_NOR2X50             4       47.840      0.141       2.166    CORE65LPSVT 
HS65_LS_NOR2X6          10309    21442.720     29.021     734.745    CORE65LPSVT 
HS65_LS_NOR3X4            187      486.200      0.330      17.625    CORE65LPSVT 
HS65_LS_OA112X18           63      294.840      0.721      19.029    CORE65LPSVT 
HS65_LS_OA112X9           382     1589.120      2.216      80.146    CORE65LPSVT 
HS65_LS_OA12X18           203      844.480      2.353      57.120    CORE65LPSVT 
HS65_LS_OA12X27            81      589.680      1.445      33.836    CORE65LPSVT 
HS65_LS_OA12X35             4       31.200      0.095       1.928    CORE65LPSVT 
HS65_LS_OA12X9           1019     3709.160      5.016     268.294    CORE65LPSVT 
HS65_LS_OA212X4           129      670.800      0.393      12.169    CORE65LPSVT 
HS65_LS_OA31X18             5       26.000      0.059       1.788    CORE65LPSVT 
HS65_LS_OAI112X11          86      536.640      0.294      23.663    CORE65LPSVT 
HS65_LS_OAI112X16          12      106.080      0.064       4.330    CORE65LPSVT 
HS65_LS_OAI112X5          308     1121.120      0.331      46.567    CORE65LPSVT 
HS65_LS_OAI12X12          218     1133.600      2.159      43.258    CORE65LPSVT 
HS65_LS_OAI12X18          366     2474.160      6.240      85.251    CORE65LPSVT 
HS65_LS_OAI12X24          124     1096.160      2.721      44.826    CORE65LPSVT 
HS65_LS_OAI12X3          1175     3055.000      2.705      71.233    CORE65LPSVT 
HS65_LS_OAI12X37           42      546.000      1.446      24.807    CORE65LPSVT 
HS65_LS_OAI12X6           929     2898.480      3.919     119.136    CORE65LPSVT 
HS65_LS_OAI13X10           81      505.440      1.042      29.514    CORE65LPSVT 
HS65_LS_OAI13X15           12      106.080      0.233       6.346    CORE65LPSVT 
HS65_LS_OAI13X20            1       11.960      0.029       0.605    CORE65LPSVT 
HS65_LS_OAI13X5           128      465.920      0.748      53.736    CORE65LPSVT 
HS65_LS_OAI21X12          268     1393.600      2.540     106.594    CORE65LPSVT 
HS65_LS_OAI21X18           11       74.360      0.159       2.998    CORE65LPSVT 
HS65_LS_OAI21X24           69      609.960      1.479      30.607    CORE65LPSVT 
HS65_LS_OAI21X3          3074     7992.400      5.945     215.513    CORE65LPSVT 
HS65_LS_OAI21X37           13      169.000      0.431       7.127    CORE65LPSVT 
HS65_LS_OAI21X49            2       34.320      0.092       1.655    CORE65LPSVT 
HS65_LS_OAI21X6            77      240.240      0.349      13.109    CORE65LPSVT 
HS65_LS_OAI21X9            11       57.200      0.082       3.033    CORE65LPSVT 
HS65_LS_OAI22X11            4       24.960      0.038       2.379    CORE65LPSVT 
HS65_LS_OAI22X6           451     1641.640      1.949     112.143    CORE65LPSVT 
HS65_LS_OAI311X10          25      195.000      0.390       9.641    CORE65LPSVT 
HS65_LS_OAI311X5           33      137.280      0.241       6.442    CORE65LPSVT 
HS65_LS_OAI31X10            1        6.240      0.012       0.456    CORE65LPSVT 
HS65_LS_OAI31X5             5       18.200      0.019       0.667    CORE65LPSVT 
HS65_LS_OAI32X5           129      536.640      0.344      45.618    CORE65LPSVT 
HS65_LS_OR2ABX18            3       12.480      0.025       0.165    CORE65LPSVT 
HS65_LS_OR2ABX27            1        5.720      0.012       0.388    CORE65LPSVT 
HS65_LS_OR2X18            342     1244.880      3.601      98.841    CORE65LPSVT 
HS65_LS_OR2X27              3       17.160      0.047       1.086    CORE65LPSVT 
HS65_LS_OR2X9            2938     9166.560     13.465     605.112    CORE65LPSVT 
HS65_LS_OR3X18              2        9.360      0.013       0.148    CORE65LPSVT 
HS65_LS_OR3X9              56      203.840      0.132       4.013    CORE65LPSVT 
HS65_LS_OR4X14             58      422.240      0.790      15.080    CORE65LPSVT 
HS65_LS_PAO2X18           102      583.440      1.172      60.390    CORE65LPSVT 
HS65_LS_PAO2X9           4702    22005.360     21.572    2164.879    CORE65LPSVT 
HS65_LS_PAOI2X1          1214     4418.960      1.535     126.927    CORE65LPSVT 
HS65_LS_PAOI2X11          153     1193.400      1.627      89.618    CORE65LPSVT 
HS65_LS_PAOI2X6          1480     6156.800      6.040     304.073    CORE65LPSVT 
HS65_LS_XNOR2X18          765     5171.400     16.774     458.366    CORE65LPSVT 
HS65_LS_XNOR2X27           93      967.200      2.929      82.344    CORE65LPSVT 
HS65_LS_XNOR2X35           83      949.520      3.611      91.529    CORE65LPSVT 
HS65_LS_XNOR2X4           286     1338.480      1.612      64.241    CORE65LPSVT 
HS65_LS_XNOR2X9           751     3905.200      7.320     239.849    CORE65LPSVT 
HS65_LS_XNOR3X18            1       11.960      0.017       0.644    CORE65LPSVT 
HS65_LS_XNOR3X27            1       17.160      0.024       1.043    CORE65LPSVT 
HS65_LS_XOR2X18          1015     6861.400     22.297     614.526    CORE65LPSVT 
HS65_LS_XOR2X27           754     7841.600     24.069     688.813    CORE65LPSVT 
HS65_LS_XOR2X35           643     7355.920     28.194     778.813    CORE65LPSVT 
HS65_LS_XOR2X4            999     4675.320      5.987     229.902    CORE65LPSVT 
HS65_LS_XOR2X9           1591     8273.200     15.724     589.487    CORE65LPSVT 
HS65_LS_XOR3X18           116     1327.040      1.821      75.687    CORE65LPSVT 
HS65_LS_XOR3X9           2293    21462.480     16.748     747.439    CORE65LPSVT 
---------------------------------------------------------------------------------
total                  283556  1723764.640   2076.489  211334.820                


                                              Leakage  Leakage  Internal  Internal 
     Type      Instances     Area    Area % Power (uW) Power % Power (uW)  Power % 
-----------------------------------------------------------------------------------
sequential         21722  226922.800   13.2    223.024    10.7 101516.935     48.0 
inverter           58821  113712.040    6.6    255.046    12.3   4779.139      2.3 
buffer              2368   19003.920    1.1     85.087     4.1   1523.131      0.7 
logic             200645 1364125.880   79.1   1513.332    72.9 103515.614     49.0 
physical_cells         0       0.000    0.0      0.000     0.0      0.000      0.0 
-----------------------------------------------------------------------------------
total             283556 1723764.640  100.0   2076.489   100.0 211334.820    100.0 

