============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  05:02:34 pm
  Module:                 INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
HS65_LS_PAO2X18           66    377.520    CORE65LPSVT 
HS65_LS_PAO2X9           132    617.760    CORE65LPSVT 
HS65_LS_PAOI2X11          66    514.800    CORE65LPSVT 
HS65_LS_PAOI2X17          66    720.720    CORE65LPSVT 
HS65_LS_XNOR2X18         330   2230.800    CORE65LPSVT 
HS65_LS_XNOR2X9          132    686.400    CORE65LPSVT 
HS65_LS_XOR2X18          132    892.320    CORE65LPSVT 
HS65_LS_XOR2X27          132   1372.800    CORE65LPSVT 
HS65_LS_XOR2X35           66    755.040    CORE65LPSVT 
-------------------------------------------------------
total                  15386  86625.240                


                                          
     Type      Instances    Area   Area % 
------------------------------------------
sequential          1132 11789.440   13.6 
inverter            2773  6932.120    8.0 
buffer               294  1116.960    1.3 
logic              11187 66786.720   77.1 
physical_cells         0     0.000    0.0 
------------------------------------------
total              15386 86625.240  100.0 

